tok	cat
gesang-Verein	x
wird	x
am	x
Festplatze	x
völkische	x
Gesänge	x
zum	x
Vortrage	x
bringen	x
;	x
die	x
Zwischenpausen	x
wird	x
eine	x
Musikkapelle	x
mit	x
heiteren	x
Weisen	x
ausfüllen	x
.	x
Zur	x
Bequemlichkeit	x
der	x
Festgäste	x
werden	x
bei	x
der	x
Gastwirtschaft	x
des	x
Herrn	x
Meierseidl	x
in	x
der	x
Triesterstraße	x
Fahrgelegenheiten	x
zur	x
Verfügung	x
stehen	x
und	x
ist	x
für	x
die	x
Hin-	x
bezw	x
.	x
Rückfahrt	x
der	x
geringe	x
Betrag	x
von	x
nur	x
40	x
Hellern	x
zu	x
entrichten	x
.	x
Nur	x
bei	x
ausgesprochen	x
schlechtem	x
Wetter	x
,	x
das	x
heißt	x
,	x
wenn	x
es	x
am	x
Abend	x
des	x
Festes	x
regnen	x
sollte	x
,	x
wird	x
diese	x
Feier	x
nicht	x
abgehalten	x
.	x
Unser	x
Losungswort	x
am	x
Samstag	x
soll	x
sein	x
:	x
Auf	x
nach	x
Roßwein	x
,	x
zur	x
hehren	x
Feier	x
der	x
Sommersonnenwende	x
!	x
Gemeinderatssitzung	x
.	x
Am	x
26	x
.	x
Juni	x
d.	x
J.	x
nachmittags	x
3	x
Uhr	x
findet	x
im	x
Rathaussaale	x
eine	x
Gemeinderatssitzung	x
mit	x
folgender	x
Tagesordnung	x
statt	x
:	x
Beschlußfassung	x
in	x
Angelegenheit	x
der	x
vom	x
Herrn	x
Raimund	x
Lirzer	x
in	x
Besitz	x
genommenen	x
Grundparzelle	x
in	x
der	x
Augasse	x
.	x
—	x
Genehmigung	x
des	x
Vertrages	x
wegen	x
Mitbenützung	x
der	x
Schwimmschule	x
durch	x
das	x
k.	x
u.	x
k.	x
Militär	x
.	x
—	x
Petition	x
in	x
Angelegenheit	x
der	x
Reichsbrückenfrage	x
.	x
—	x
Eingabe	x
des	x
Herrn	x
Karl	x
Pirch	x
um	x
nachträgliche	x
Erhöhung	x
seines	x
Offertes	x
um	x
16	x
Prozent	x
.	x
—	x
Gesuch	x
des	x
Stadtverschönerungsvereines	x
in	x
der	x
Magdalenenvorstadt	x
um	x
Genehmigung	x
zur	x
Aufstellung	x
von	x
Bänken	x
.	x
—	x
Gesuch	x
des	x
Herrn	x
Anton	x
Kraus	x
um	x
Herstellung	x
eines	x
Rinnsales	x
in	x
der	x
Werkstättenstraße	x
.	x
—	x
Einführung	x
von	x
Kehrbezirken	x
und	x
Festsetzung	x
von	x
Maximaltarifen	x
beim	x
Rauchfangkehrergewerbe	x
.	x
—	x
Gesuch	x
des	x
Stadtverschönerungsvereines	x
um	x
Abgabe	x
von	x
400	x
Fuhren	x
Sand	x
.	x
—	x
Bericht	x
über	x
die	x
Schlachtungen	x
im	x
Monate	x
Mai	x
1907	x
.	x
—	x
Ansuchen	x
von	x
vier	x
Hausbesitzern	x
in	x
der	x
Gemeinde	x
Kartschowin	x
um	x
Wasserbezug	x
aus	x
der	x
städtischen	x
Leitung	x
.	x
—	x
Gesuch	x
der	x
Gemeinde	x
Kartschowin	x
um	x
ganzjährige	x
Verrechnung	x
der	x
Wassergebühren	x
.	x
—	x
Gesuch	x
des	x
Stadtverschönerungsvereines	x
um	x
einen	x
Beitrag	x
für	x
die	x
Wegherstellung	x
zum	x
Kalvarienberge	x
.	x
—	x
Ansuchen	x
des	x
Vereines	x
der	x
Hausbesitzer	x
um	x
Terminänderung	x
für	x
die	x
Einzahlung	x
von	x
Umlagen	x
.	x
—	x
Nach	x
der	x
öffentlichen	x
solgt	x
eine	x
vertrauliche	x
Sitzung	x
.	x
Eine	x
Abordnung	x
beim	x
Bürgermeister	x
.	x
Gestern	x
vormittags	x
um	x
halb	x
11	x
Uhr	x
begab	x
sich	x
eine	x
Abordnung	x
jenes	x
gewerblichen	x
Ausschusses	x
,	x
welcher	x
die	x
im	x
Oktober	x
v.	x
J.	x
stattgefundene	x
erste	x
Marburger	x
Lehrlingsarbeiten-Ausstellung	x
veranstaltet	x
hatte	x
,	x
zum	x
Herrn	x
Bürgermeister	x
Dr.	x
Schmiderer	x
,	x
dem	x
Protektor	x
der	x
damaligen	x
Ausstellung	x
,	x
um	x
ihm	x
zur	x
Erinnerung	x
an	x
diese	x
Ausstellung	x
ein	x
mit	x
dem	x
Bilde	x
des	x
Protektors	x
und	x
sämtlicher	x
Herren	x
des	x
Ausstellungsausschusses	x
versehenes	x
Tableau	x
zu	x
überreichen	x
.	x
Die	x
Abordnung	x
bestand	x
aus	x
dem	x
Obmanne	x
jenes	x
Ausschusses	x
,	x
dem	x
Gemeinderate	x
und	x
Obmann	x
des	x
deutschen	x
Handwerkervereines	x
Herrn	x
Kral	x
,	x
dem	x
Gemeinderate	x
Herrn	x
Heritschko	x
und	x
den	x
Herren	x
Letonja	x
und	x
Eisl	x
.	x
Nach	x
einer	x
Ansprache	x
des	x
Herrn	x
Kral	x
übernahm	x
Herr	x
Doktor	x
Johann	x
Schmiderer	x
das	x
Erinnerungszeichen	x
,	x
bedankte	x
sich	x
für	x
die	x
ihm	x
gewidmete	x
Aufmerksamkeit	x
und	x
erklärte	x
,	x
daß	indirect
er	indirect
jederzeit	indirect
,	indirect
nach	indirect
Kräften	indirect
und	indirect
gerne	indirect
die	indirect
Interessen	indirect
des	indirect
Handwerker-	indirect
und	indirect
Gewerbestandes	indirect
fördern	indirect
werde	indirect
.	indirect
—	x
Das	x
Tableau	x
,	x
eine	x
schöne	x
Leistung	x
der	x
photographischen	x
Anstalt	x
Kieser	x
,	x
enthält	x
außer	x
dem	x
Bilde	x
des	x
Bürgermeisters	x
Dr.	x
Schmiderer	x
noch	x
die	x
Porträts	x
der	x
Herren	x
Ausschußmitglieder	x
Kral	x
,	x
Fornara	x
,	x
Detschko	x
,	x
Zollenstein	x
,	x
Dadieu	x
,	x
Holzer	x
,	x
Fischbach	x
,	x
Eisl	x
,	x
Letonja	x
,	x
Kollar	x
,	x
Hochenegger	x
,	x
Drofenik	x
,	x
Polatschek	x
,	x
Kralik	x
,	x
Kleinschuster	x
,	x
Heritschko	x
,	x
Friedriger	x
und	x
Dir	x
.	x
Phillippek	x
.	x
Ein	x
geschmackvoller	x
,	x
von	x
der	x
Firma	x
HocheneggerDrofenik	x
verfertigter	x
,	x
von	x
der	x
Firma	x
Detschko	x
mit	x
schönen	x
Verzierungen	x
und	x
Initialen	x
aus	x
vergoldetem	x
Kupfer	x
versehener	x
Rahmen	x
schließt	x
das	x
Andenken	x
ein	x
.	x
Spende	x
.	x
Von	x
Ungenannt	x
wurde	x
unserer	x
Verwaltung	x
je	x
1	x
K.	x
für	x
die	x
beiden	x
,	x
mit	x
ihren	x
Kindern	x
hungernden	x
Frauen	x
,	x
für	x
die	x
wir	x
in	x
der	x
letzten	x
Samstag-Nummer	x
um	x
Gaben	x
baten	x
,	x
übergeben	x
.	x
Eine	x
große	x
Südbahnerversammlung	x
fand	x
vorgestern	x
abends	x
im	x
Götzschen	x
Brauhausgarten	x
statt	x
.	x
Es	x
dürften	x
über	x
1000	x
Personen	x
anwesend	x
gewesen	x
sein	x
;	x
ob	x
sämtliche	x
Angestellte	x
der	x
Südbahn	x
waren	x
,	x
konnte	x
freilich	x
nicht	x
genau	x
unterschieden	x
werden	x
.	x
Die	x
Versammlung	x
galt	x
dem	x
Bestreben	x
nach	x
Aufbesserung	x
der	x
Lage	x
der	x
Südbahnangestellten	x
ohne	x
Unterschied	x
der	x
Kategorie	x
.	x
Sie	x
verlief	x
,	x
von	x
häufigen	x
Beifallskundgebungen	x
abgesehen	x
,	x
in	x
vollster	x
Ruhe	x
;	x
nur	x
als	x
ein	x
Südbahner	x
gesprochen	x
hatte	x
,	x
von	x
dem	x
behauptet	x
wurde	x
,	x
daß	indirect
er	indirect
ein	indirect
Christlichsozialer	indirect
sei	indirect
,	x
gab	x
es	x
einen	x
Entrüstungssturm	x
.	x
Nachstehend	x
den	x
Versammlungsbericht	x
.	x
Zum	x
Vorsitzenden	x
wurde	x
Herr	x
