tok	cat
A	x
m	x
10	x
.	x
November	x
d.	x
J.	x
sind	x
zehn	x
Jahre	x
seit	x
jener	x
großen	x
nationalen	x
Feier	x
vergangen	x
,	x
in	x
welcher	x
damals	x
das	x
gesammte	x
deutsche	x
Volk	x
seiner	x
begeisterten	x
Liebe	x
für	x
den	x
,	x
ihm	x
vor	x
Allen	x
theuren	x
Dichter	x
,	x
für	x
seinen	x
Schiller	x
,	x
am	x
hundertsten	x
Jahrestage	x
von	x
dessen	x
Geburt	x
,	x
den	x
schönen	x
,	x
würdigen	x
,	x
festlichen	x
Ausdruck	x
gab	x
.	x
Jn	x
vielen	x
Städten	x
des	x
Vaterlandes	x
verband	x
man	x
mit	x
der	x
Erinnerung	x
an	x
den	x
,	x
welchen	x
jener	x
Tag	x
zum	x
Heil	x
seines	x
Volkes	x
geboren	x
,	x
auch	x
die	x
Stiftung	x
neuer	x
Gedächtnißmale	x
für	x
den	x
herrlichen	x
deutschen	x
Geisteshelden	x
,	x
ob	x
man	x
sich	x
auch	x
sehr	x
wohl	x
bewußt	x
war	x
,	x
daß	x
er	x
das	x
beste	x
und	x
bleibendste	x
sich	x
selbst	x
in	x
seinen	x
Schöpfungen	x
begründet	x
hat	x
,	x
die	x
alle	x
Bilder	x
seiner	x
sterblichen	x
Gestalt	x
in	x
Marmor	x
und	x
Erz	x
überdauern	x
werden	x
.	x
Aber	x
wenn	x
man	x
für	x
Fürsten	x
und	x
Soldaten	x
kaum	x
genug	x
der	x
Plätze	x
in	x
unsern	x
Hauptstädten	x
hat	x
,	x
um	x
ihnen	x
prächtige	x
Monumente	x
darauf	x
hin	x
zu	x
pflanzen	x
,	x
so	x
war	x
es	x
ein	x
sehr	x
natürlicher	x
und	x
sehr	x
wohl	x
begründeter	x
Wunsch	x
des	x
Volkes	x
,	x
einen	x
so	x
viel	x
größeren	x
Herrscher	x
über	x
die	x
Geister	x
und	x
Herzen	x
,	x
als	x
alle	x
Jene	x
,	x
in	x
nicht	x
geringerer	x
Form	x
öffentlich	x
geehrt	x
zu	x
sehen	x
durch	x
Denkmale	x
,	x
welche	x
auch	x
den	x
fernsten	x
Nachkommen	x
noch	x
das	x
ideale	x
Bild	x
seiner	x
Persönlichkeit	x
immerdar	x
vor	x
Augen	x
stellen	x
würden	x
.	x
Unter	x
den	x
deutschen	x
Städten	x
,	x
welche	x
diesen	x
Gedanken	x
freudig	x
ergriffen	x
und	x
eifrig	x
die	x
Mittel	x
zusammen	x
brachten	x
,	x
die	x
nöthig	x
waren	x
,	x
ihn	x
zu	x
verwirklichen	x
,	x
fehlte	x
natürlich	x
auch	x
Berlin	x
nicht	x
.	x
Den	x
eigentlichen	x
Mittelpunkt	x
der	x
Schillerfeier	x
bildete	x
auch	x
hier	x
wie	x
in	x
jenen	x
,	x
die	x
Legung	x
des	x
Grundsteins	x
für	x
das	x
Denkmal	x
,	x
das	x
sich	x
baldmöglichst	x
von	x
berufener	x
Meisterhand	x
ausgeführt	x
,	x
für	x
den	x
Dichter	x
erheben	x
sollte	x
.	x
Obgleich	x
wir	x
uns	x
damals	x
in	x
der	x
Blüthezeit	x
der	x
liberalen	x
sogenannten	x
„	x
Neuen	x
Aera	x
“	x
befanden	x
,	x
so	x
begegnete	x
die	x
ganze	x
Sache	x
schon	x
in	x
jener	x
Zeit	x
von	x
einer	x
gewissen	x
Seite	x
her	x
einem	x
kaum	x
verhehlten	x
Mißwollen	x
,	x
nicht	x
unähnlich	x
dem	x
,	x
welches	x
von	x
derselben	x
Seite	x
heute	x
der	x
verwandten	x
Angelegenheit	x
der	x
Humboldtfeier	x
bewiesen	x
wird	x
.	x
Man	x
bemühte	x
sich	x
,	x
und	x
nicht	x
ganz	x
erfolglos	x
,	x
damals	x
wie	x
jetzt	x
einen	x
„	x
demokratischen	x
Schwindel	x
“	x
als	x
den	x
wahren	x
Kern	x
der	x
ganzen	x
Bewegung	x
für	x
des	x
Dichters	x
Verherrlichung	x
zu	x
enthüllen	x
.	x
Längst	x
sind	x
in	x
allen	x
Städten	x
Deutschlands	x
,	x
welche	x
1859	x
solche	x
Grundsteinlegungen	x
zu	x
ihren	x
Schillerdenkmalen	x
festlich	x
begingen	x
,	x
die	x
damals	x
projektirten	x
vollendet	x
und	x
aufgestellt	x
worden	x
.	x
Nur	x
in	x
Berlin	x
blieb	x
das	x
Gitter	x
,	x
welches	x
den	x
dafür	x
bestimmten	x
Platz	x
vor	x
der	x
großen	x
Freitreppe	x
des	x
Schauspielhauses	x
einhegt	x
,	x
noch	x
immer	x
leer	x
.	x
Das	x
„	x
SchillerGitter	x
“	x
wurde	x
bereits	x
ein	x
Gegenstand	x
des	x
Volksgespöttes	x
.	x
Aber	x
nun	x
nach	x
zehn	x
Jahren	x
für	x
den	x
10	x
.	x
November	x
1869	x
war	x
die	x
endliche	x
Aufstellung	x
mit	x
Bestimmtheit	x
angekündigt	x
.	x
Jm	x
April	x
bereits	x
erwartete	x
man	x
,	x
mit	x
den	x
Erdarbeiten	x
beginnen	x
zu	x
sehen	x
.	x
Man	x
hörte	x
,	x
daß	indirect
der	indirect
Grundstein	indirect
von	indirect
der	indirect
ursprünglich	indirect
gewählten	indirect
Stelle	indirect
entfernt	indirect
und	indirect
weiter	indirect
in	indirect
den	indirect
Platz	indirect
hinein	indirect
von	indirect
der	indirect
Freitreppe	indirect
weggerückt	indirect
werden	indirect
würde	indirect
,	indirect
was	indirect
für	indirect
die	indirect
Wirkung	indirect
des	indirect
ganzen	indirect
Monuments	indirect
nur	indirect
von	indirect
großem	indirect
Vortheil	indirect
sein	indirect
könnte	indirect
.	indirect
Aber	x
Monat	x
auf	x
Monat	x
ist	x
vergangen	x
,	x
und	x
bis	x
heute	x
hat	x
man	x
noch	x
nicht	x
die	x
geringsten	x
Anstalten	x
gemacht	x
,	x
welche	x
auf	x
eine	x
wirkliche	x
Ausführung	x
des	x
Beschlusses	x
der	x
Enthüllung	x
am	x
festgesetzten	x
Jahrestage	x
hindeuten	x
.	x
Am	x
Künstler	x
liegt	x
die	x
Schuld	x
nicht	x
.	x
Sein	x
Werk	x
steht	x
vollendet	x
im	x
Atelier	x
da	x
.	x
Die	x
städtischen	x
Behörden	x
,	x
welche	x
sich	x
für	x
jene	x
Verlegung	x
des	x
Platzes	x
entschieden	x
haben	x
,	x
weisen	x
die	x
Verantwortlichkeit	x
der	x
Verzögerung	x
von	x
sich	x
ab	x
.	x
Die	x
Frage	x
,	x
wo	indirect
der	indirect
Grund	indirect
derselben	indirect
dann	indirect
zu	indirect
suchen	indirect
sei	indirect
,	x
bleibt	x
unbeantwortet	x
und	x
Berlin	x
wahrscheinlich	x
wieder	x
ohne	x
Schillermonument	x
,	x
das	x
in	x
der	x
Werkstatt	x
ruht	x
,	x
während	x
das	x
„	x
Schiller=Gitter	x
“	x
den	x
,	x
nach	x
wie	x
vor	x
„	x
Gensdarmenmarkt	x
“	x
genannten	x
Platz	x
wie	x
seit	x
zehn	x
Jahren	x
auch	x
ferner	x
zu	x
„	x
schmücken	x
“	x
bestimmt	x
scheint	x
.	x
Es	x
ist	x
das	x
freilich	x
nicht	x
das	x
Einzige	x
in	x
unsern	x
öffentlichen	x
Zuständen	x
,	x
was	x
sich	x
dem	x
Begreifen	x
durch	x
den	x
„	x
beschränkten	x
Unterthanenverstand	x
“	x
völlig	x
entzieht	x
.	x
Dies	x
letzte	x
,	x
freilich	x
unvorhergesehene	x
Hinderniß	x
,	x
welches	x
sich	x
dem	x
vollendeten	x
Werk	x
entgegenstellt	x
,	x
ist	x
nur	x
die	x
Krönung	x
einer	x
ganzen	x
Folge	x
von	x
hemmenden	x
Schwierigkeiten	x
,	x
mit	x
denen	x
dasselbe	x
zu	x
kämpfen	x
hatte	x
,	x
vom	x
ersten	x
Versuch	x
an	x
,	x
der	x
zur	x
Verwirklichung	x
des	x
schönen	x
Gedankens	x
unternommen	x
wurde	x
.	x
Jm	x
Jahre	x
1862	x
fand	x
die	x
erste	x
Ausstellung	x
der	x
in	x
Folge	x
der	x
Aufforderung	x
an	x
die	x
deutschen	x
Bildhauer	x
eingegangenen	x
Modelle	x
und	x
Skizzen	x
zu	x
einem	x
Schillermonument	x
für	x
Berlin	x
,	x
im	x
Concertsaal	x
des	x
Kgl	x
.	x
Schauspielhauses	x
statt	x
.	x
Die	x
bedeutendsten	x
Meister	x
und	x
die	x
begabtesten	x
Jünger	x
der	x
plastischen	x
Kunst	x
hatten	x
sich	x
eifrig	x
daran	x
betheiligt	x
.	x
Es	x
waren	x
vielfach	x
interessante	x
Arbeiten	x
eingegangen	x
.	x
Aber	x
die	x
öffentliche	x
Meinung	x
erklärte	x
sich	x
bald	x
genug	x
für	x
zwei	x
aus	x
der	x
ganzen	x
Menge	x
:	x
die	x
von	x
Siemering	x
und	x
die	x
von	x
Reinhold	x
Begas	x
.	x
Jn	x
der	x
ersteren	x
sprach	x
besonders	x
die	x
Auffassung	x
der	x
Gestalt	x
Schillers	x
selbst	x
in	x
hohem	x
Grade	x
an	x
,	x
während	x
das	x
Postament	x
in	x
Anlage	x
und	x
Form	x
weniger	x
befriedigen	x
mochte	x
.	x
Das	x
zweite	x
dagegen	x
,	x
ob	x
auch	x
nur	x
ganz	x
derb	x
und	x
skizzenhaft	x
behandelt	x
,	x
zeigte	x
eine	x
so	x
großartige	x
Totalcomposition	x
,	x
war	x
so	x
original	x
,	x
so	x
abweichend	x
von	x
der	x
ziemlich	x
schematisch	x
gewordenen	x
Manier	x
solcher	x
Denkmalsanlagen	x
,	x
erschien	x
so	x
poesievoll	x
in	x
der	x
Erfindung	x
,	x
so	x
mächtig	x
in	x
der	x
plastisch	x
monumentalen	x
Wirkung	x
,	x
daß	x
selbst	x
die	x
Gegner	x
der	x
ganzen	x
Richtung	x
des	x
Urhebers	x
nicht	x
umhin	x
konnten	x
,	x
„	x
sein	x
großes	x
Verdienst	x
unwillig	x
anzuerkennen.	x
“	x
Dieser	x
Urheber	x
,	x
wenn	x
auch	x
zu	x
den	x
jüngsten	x
Meistern	x
Berlins	x
zählend	x
,	x
war	x
unserm	x
Publikum	x
damals	x
schon	x
keineswegs	x
unbekannt	x
.	x
Reinhold	x
Begas	x
ist	x
am	x
15	x
.	x
Juli	x
1831	x
in	x
Berlin	x
geboren	x
,	x
der	x
Sohn	x
des	x
1854	x
hier	x
verstorbenen	x
berühmten	x
Malers	x
Prof.	x
Karl	x
Begas	x
,	x
des	x
Schöpfers	x
zahlreicher	x
bedeutender	x
Werke	x
der	x
Geschichts=	x
,	x
Genre=	x
und	x
Bildnißmalerei	x
während	x
der	x
zwanziger	x
,	x
dreißiger	x
und	x
vierziger	x
Jahre	x
und	x
des	x
Vaters	x
einer	x
ganzen	x
Familie	x
von	x
Künstlern	x
.	x
Wer	x
in	x
solchen	x
