tok	cat
»	x
Am	x
niedern	x
Fenster	x
seh	x
'	x
ich	x
sie	x
,	x
des	x
Gärtners	x
Jüngste	x
,	x
schon	x
durchs	x
zarte	x
Gitter	x
.	x
Bald	x
tritt	x
sie	x
aus	x
dem	x
Haus	x
,	x
steigt	x
nieder	x
die	x
Stufen	x
zum	x
Quell	x
und	x
klärt	x
ihr	x
Angesicht	x
,	x
die	x
Schöne.	x
«	x
Darauf	x
antwortete	x
der	x
Quell	x
:	x
»	x
Nicht	x
Salböl	x
hat	x
mein	x
Kind	x
,	x
nicht	x
Öl	x
der	x
Rose	x
;	x
es	x
tunkt	x
sein	x
Haar	x
in	x
meine	x
lichte	x
Schwärze	x
,	x
mit	x
seinen	x
Händen	x
schöpft	x
es	x
mich	x
.	x
Stille	x
!	x
ich	x
höre	x
das	x
Liebchen.	x
«	x
Da	x
kam	x
des	x
Gärtners	x
Tochter	x
zum	x
Born	x
,	x
wusch	x
sich	x
und	x
kämmte	x
sich	x
und	x
flocht	x
ihre	x
Zöpfe	x
.	x
Und	x
sieh	x
,	x
es	x
traf	x
sich	x
,	x
daß	x
Athmas	x
,	x
der	x
König	x
,	x
aus	x
dem	x
Palaste	x
ging	x
,	x
der	x
Morgenkühle	x
zu	x
genießen	x
,	x
bevor	x
der	x
Tag	x
anbrach	x
;	x
und	x
wandelte	x
den	x
breiten	x
Weg	x
daher	x
auf	x
gelbem	x
Sand	x
und	x
wurde	x
der	x
Dirne	x
gewahr	x
,	x
trat	x
nahe	x
zu	x
und	x
stand	x
betroffen	x
über	x
ihre	x
Schönheit	x
,	x
begrüßte	x
die	x
Erschrockene	x
und	x
küßt	x
'	x
ihr	x
die	x
Stirn	x
.	x
Seit	x
diesem	x
war	x
sie	x
Athmas	x
lieb	x
und	x
kam	x
nicht	x
mehr	x
von	x
seiner	x
Seite	x
Tag	x
und	x
Nacht	x
;	x
trug	x
köstliche	x
Gewänder	x
von	x
Byssus	x
und	x
Seide	x
und	x
war	x
geehrt	x
von	x
den	x
Vettern	x
des	x
Königs	x
,	x
weil	x
sie	x
sich	x
hold	x
und	x
demütig	x
erwies	x
gegen	x
Große	x
und	x
Kleine	x
und	x
gab	x
den	x
Armen	x
viel	x
.	x
Übers	x
Jahr	x
aber	x
wurde	x
Jezerte	x
krank	x
,	x
und	x
half	x
ihr	x
nichts	x
,	x
sie	x
starb	x
in	x
ihrer	x
Jugend	x
.	x
Da	x
ließ	x
der	x
König	x
ihr	x
am	x
Garten	x
des	x
Palasts	x
ein	x
Grabgewölbe	x
bauen	x
,	x
wo	x
der	x
Quell	x
entsprang	x
,	x
darüber	x
einen	x
kleinen	x
Tempel	x
,	x
und	x
ließ	x
ihr	x
Bildnis	x
drin	x
aufstellen	x
aus	x
weißem	x
Marmor	x
,	x
ihre	x
ganze	x
Gestalt	x
,	x
wie	x
sie	x
lebte	x
,	x
ein	x
Wunderwerk	x
der	x
Kunst	x
.	x
Den	x
Quell	x
aber	x
hielt	x
das	x
Volk	x
heilig	x
.	x
Alle	x
Monden	x
einmal	x
ging	x
der	x
König	x
dahin	x
,	x
um	x
Jezerte	x
zu	x
weinen	x
.	x
Er	x
redete	x
mit	x
niemand	x
jenen	x
Tag	x
,	x
man	x
durfte	x
nicht	x
Speise	x
noch	x
