tok	cat
Während	x
der	x
Pause	x
gespannter	x
Erwartung	x
,	x
welche	x
jetzt	x
eingetreten	x
ist	x
,	x
dürfte	x
es	x
nicht	x
ohne	x
Jnteresse	x
sein	x
,	x
einen	x
Blick	x
auf	x
die	x
Parteien	x
zu	x
werfen	x
,	x
welche	x
sich	x
in	x
Preußen	x
gebildet	x
haben	x
,	x
und	x
auf	x
die	x
Stellung	x
,	x
welche	x
sie	x
dem	x
Kriege	x
gegenüber	x
einnehmen	x
.	x
Ein	x
oberflächlicher	x
Beobachter	x
könnte	x
der	x
Meinung	x
sein	x
,	x
daß	indirect
jetzt	indirect
,	indirect
da	indirect
sie	indirect
alle	indirect
gleich	indirect
gewaltig	indirect
laut	indirect
für	indirect
die	indirect
„	indirect
Ehre	indirect
Preußens	indirect
“	indirect
und	indirect
für	indirect
den	indirect
Krieg	indirect
eifern	indirect
,	indirect
ein	indirect
augenblickliches	indirect
Einverständniß	indirect
unter	indirect
ihnen	indirect
herrschend	indirect
geworden	indirect
.	indirect
Aber	x
ist	x
es	x
nichts	x
weniger	x
als	x
dieses	x
der	x
Fall	x
.	x
Die	x
demokratische	x
Partei	x
,	x
unzweifelhaft	x
der	x
Kopfzahl	x
nach	x
die	x
größte	x
in	x
Preußen	x
,	x
wünscht	x
den	x
Krieg	x
zu	x
ihrem	x
eigenen	x
Jnteresse	x
.	x
Sie	x
ist	x
von	x
Haß	x
erfüllt	x
gegen	x
ihr	x
Königshaus	x
,	x
wie	x
gegen	x
alle	x
Dynastien	x
,	x
und	x
hat	x
nicht	x
einmal	x
Liebe	x
zu	x
der	x
Jdee	x
des	x
preußischen	x
Staats	x
.	x
Nur	x
eine	x
Minorität	x
derselben	x
mag	x
ein	x
specifisch	x
deutsches	x
Gefühl	x
besitzen	x
;	x
ihre	x
große	x
Mehrheit	x
betrachtet	x
diesen	x
Krieg	x
,	x
wie	x
jeden	x
andern	x
,	x
der	x
in	x
Europa	x
von	x
Konstantinopel	x
bis	x
Kopenhagen	x
,	x
von	x
Cadir	x
bis	x
St.	x
Petersburg	x
ausbrechen	x
könnte	x
,	x
als	x
ein	x
willkommenes	x
Mittel	x
zum	x
Beginn	x
einer	x
allgemeinen	x
Revolution	x
.	x
Sie	x
sieht	x
den	x
Krieg	x
entstehen	x
mit	x
derselben	x
bewußten	x
Freude	x
,	x
mit	x
welcher	x
Mazzini	x
,	x
Louis	x
Blanc	x
,	x
Ruge	x
,	x
Heinzen	x
und	x
Genossen	x
denselben	x
begrüßen	x
werden	x
.	x
Sei	x
das	x
Resultat	x
des	x
Kampfes	x
,	x
welches	x
es	x
wolle	x
,	x
sie	x
weiß	x
,	x
daß	indirect
es	indirect
ihre	indirect
eigene	indirect
Lage	indirect
nicht	indirect
verschlimmern	indirect
kann	indirect
.	indirect
Sie	x
ist	x
entschlossen	x
,	x
den	x
ersten	x
besten	x
Monarchen	x
,	x
der	x
in	x
die	x
Noth	x
kommt	x
,	x
sie	x
anzurufen	x
,	x
zu	x
ihrem	x
Werkzeuge	x
zu	x
machen	x
,	x
um	x
zu	x
einer	x
späteren	x
Zeit	x
über	x
seinen	x
Leib	x
hinweg	x
zur	x
Macht	x
zu	x
schreiten	x
.	x
Die	x
Einigkeit	x
der	x
großen	x
Mächte	x
bildete	x
bisher	x
das	x
große	x
Gewicht	x
,	x
welches	x
die	x
Demokratie	x
in	x
Deutschland	x
zu	x
Boden	x
drückte	x
.	x
Die	x
demokratische	x
Partei	x
weiß	x
,	x
daß	indirect
deren	indirect
Uneinigkeit	indirect
sie	indirect
von	indirect
diesem	indirect
Drucke	indirect
befreien	indirect
wird	indirect
.	indirect
--	x
Die	x
Partei	x
der	x
Kreuzzeitung	x
,	x
die	x
ultra=conservative	x
und	x
par	x
exellence	x
preußische	x
,	x
welche	x
der	x
demokratischen	x
schroff	x
gegenübersteht	x
,	x
führt	x
auch	x
eine	x
kriegerische	x
Sprache	x
,	x
ohne	x
jedoch	x
die	x
Gefahren	x
eines	x
Krieges	x
für	x
sich	x
selbst	x
zu	x
verkennen	x
.	x
Sie	x
weiß	x
,	x
daß	indirect
ihre	indirect
mühsam	indirect
befestigte	indirect
Macht	indirect
bei	indirect
der	indirect
ersten	indirect
verlorenen	indirect
Schlacht	indirect
rettungslos	indirect
zusammenbrechen	indirect
müßte	indirect
.	indirect
Sie	x
weiß	x
auch	x
,	x
daß	indirect
ihr	indirect
eine	indirect
gewonnene	indirect
Schlacht	indirect
keinen	indirect
Vortheil	indirect
bringen	indirect
könnte	indirect
.	indirect
Wenn	x
sie	x
doch	x
jetzt	x
eine	x
martialische	x
Attitude	x
einnimmt	x
,	x
so	x
geschieht	x
es	x
theilweise	x
aus	x
dem	x
Jmpuls	x
,	x
welcher	x
alle	x
Leute	x
,	x
die	x
ihr	x
Vaterland	x
lieben	x
,	x
dazu	x
treibt	x
,	x
dem	x
fremden	x
Gegner	x
gegenüber	x
Front	x
zu	x
machen	x
,	x
habe	x
derselbe	x
Unrecht	x
oder	x
auch	x
Recht	x
,	x
theilweise	x
aus	x
einer	x
altpreußischen	x
Abneigung	x
gegen	x
Oesterreich	x
und	x
Bayern	x
,	x
theilweise	x
,	x
weil	x
ihr	x
jetzt	x
gar	x
kein	x
anderer	x
Ausweg	x
übrig	x
bleibt	x
,	x
als	x
mit	x
den	x
Wölfen	x
