tok	cat
Wenn	x
man	x
aus	x
Barnow	x
nach	x
Süden	x
fährt	x
,	x
in	x
die	x
Bukowina	x
oder	x
in	x
die	x
Moldau	x
,	x
so	x
sieht	x
man	x
nach	x
etwa	x
drei	x
Stunden	x
,	x
dort	x
,	x
wo	x
die	x
Straße	x
bei	x
Z.	x
den	x
Dniester	x
überschreitet	x
,	x
auf	x
einem	x
Hügel	x
ein	x
stolzes	x
Schloß	x
liegen	x
,	x
mit	x
hohen	x
weißen	x
Mauern	x
und	x
blinkenden	x
Fenstern	x
.	x
Ein	x
prächtiger	x
Garten	x
umgiebt	x
es	x
und	x
zieht	x
sich	x
den	x
Hügel	x
hinab	x
und	x
weit	x
in	x
die	x
Ebene	x
hinein	x
.	x
Das	x
ist	x
vielleicht	x
der	x
schönste	x
Herrensitz	x
in	x
Podolien	x
und	x
sicherlich	x
der	x
reichste	x
.	x
Er	x
gehört	x
dem	x
»	x
Baron	x
Schmule	x
«	x
,	x
wie	x
er	x
überall	x
genannt	x
wird	x
,	x
dem	x
Manne	x
,	x
der	x
einst	x
Schmule	x
Runnstein	x
geheißen	x
hat	x
und	x
jetzt	x
der	x
mächtige	x
Freiherr	x
Sigismund	x
von	x
Ronnicki	x
ist	x
.	x
Der	x
Mann	x
hat	x
einen	x
großen	x
Weg	x
gemacht	x
,	x
er	x
ist	x
wie	x
ein	x
Pfeil	x
nach	x
seinem	x
Ziele	x
geschossen	x
.	x
Das	x
gelingt	x
nur	x
wenigen	x
Menschen	x
;	x
denn	x
die	x
meisten	x
sind	x
wie	x
ein	x
Kreisel	x
,	x
sie	x
bewegen	x
sich	x
viel	x
,	x
laut	x
und	x
rasch	x
,	x
aber	x
sie	x
drehen	x
sich	x
immer	x
um	x
sich	x
selbst	x
herum	x
und	x
kommen	x
nicht	x
von	x
der	x
Stelle	x
.	x
Der	x
Pfeil	x
macht	x
nicht	x
mehr	x
,	x
nicht	x
lautere	x
,	x
nicht	x
raschere	x
Bewegung	x
,	x
aber	x
er	x
schießt	x
immer	x
auf	x
sein	x
Ziel	x
los	x
.	x
So	x
Baron	x
Schmule	x
.	x
Er	x
hat	x
sein	x
Ziel	x
fest	x
ins	x
Auge	x
gefaßt	x
und	x
ist	x
sicher	x
darauf	x
zugeschritten	x
,	x
obwohl	x
er	x
nur	x
–	x
ein	x
Auge	x
hatte	x
.	x
Aber	x
auch	x
er	x
war	x
ursprünglich	x
ein	x
Kreisel	x
und	x
nur	x
durch	x
ein	x
Ereignis	x
ist	x
er	x
zum	x
Pfeil	x
geworden	x
:	x
durch	x
einen	x
Peitschenhieb	x
.	x
Es	x
ist	x
eine	x
sonderbare	x
Geschichte	x
...	x
Vor	x
mehr	x
als	x
fünfzig	x
