tok	cat
Reise	x
nach	x
Jkarien	x
von	x
Cabet	x
.	x
(	x
Fortsetzung	x
.	x
)	x
Erster	x
Theil	x
.	x
Reise	x
.	x
--	x
Bericht	x
.	x
--	x
Beschreibung	x
.	x
Nunmehr	x
,	x
da	x
Sie	x
einen	x
Ueberblick	x
über	x
die	x
Stadt	x
haben	x
,	x
wollen	x
wir	x
,	x
wenn	x
's	x
Jhnen	x
recht	x
,	x
einen	x
Ausflug	x
machen	x
und	x
sehen	x
,	x
ob	x
der	x
Grundriß	x
richtig	x
ist	x
.	x
Wir	x
gingen	x
,	x
und	x
wollten	x
das	x
Dampfboot	x
besteigen	x
,	x
unter	x
halb	x
des	x
Hafens	x
,	x
um	x
bis	x
zum	x
Mittelplan	x
hinauf	x
zu	x
fahren	x
.	x
Eugen	x
schlug	x
vor	x
,	x
auf	indirect
diesem	indirect
Wege	indirect
einige	indirect
Gärten	indirect
zu	indirect
betrachten	indirect
.	indirect
Durch	x
ein	x
prächtiges	x
Säulenthor	x
traten	x
wir	x
in	x
einen	x
derselben	x
;	x
er	x
hatte	x
Aehnlichkeit	x
mit	x
denen	x
,	x
welche	x
ich	x
in	x
Tyrama	x
gesehen	x
.	x
Er	x
formte	x
ein	x
großes	x
Viereck	x
zwischen	x
den	x
Häuserreihen	x
von	x
vier	x
Straßen	x
;	x
in	x
der	x
Mitte	x
ein	x
hübscher	x
Laubgang	x
aus	x
doppelter	x
Baumallee	x
bestehend	x
,	x
dazwischen	x
der	x
Boden	x
reinlich	x
von	x
feinem	x
Sand	x
bedeckt	x
.	x
Ueppiger	x
Rasen	x
füllte	x
den	x
Rest	x
des	x
Parkes	x
,	x
bis	x
an	x
die	x
Mauern	x
der	x
Häuser	x
;	x
hie	x
und	x
da	x
Springbrunnen	x
,	x
Bildsäulen	x
,	x
Thiergestalten	x
in	x
Marmor	x
und	x
Erz	x
,	x
herrliche	x
Blumenbeete	x
,	x
Fruchtsträucher	x
und	x
Fruchtbäume	x
groß	x
und	x
kein	x
.	x
Die	x
Hinterseite	x
der	x
angrenzenden	x
Häuser	x
hatten	x
sämmtlich	x
ein	x
ländliches	x
Aeußere	x
;	x
Laubengänge	x
und	x
Laubensitze	x
dehnten	x
sich	x
längs	x
hin	x
.	x
Kletterpflanzen	x
rankten	x
bis	x
in	x
die	x
höheren	x
Stockwerke	x
.	x
Solcher	x
lieblicher	x
Gärten	x
und	x
Gärthen	x
bedienen	x
sich	x
die	x
Kinder	x
zu	x
Spielplätzen	x
.	x
Auch	x
Vogelbauer	x
hin	x
hochgewölbtem	x
Drathdache	x
fehlten	x
nicht	x
.	x
Eugen	x
sagte	x
,	x
es	indirect
gäbe	indirect
sehr	indirect
viele	indirect
,	indirect
wo	indirect
Bäche	indirect
durchflössen	indirect
,	indirect
mit	indirect
Wasserfällen	indirect
und	indirect
Teichen	indirect
oder	indirect
gemauerten	indirect
Wasserbecken	indirect
,	indirect
voll	indirect
Geflügel	indirect
und	indirect
Fischen	indirect
.	indirect
Ueberall	x
hat	x
das	x
Publikum	x
Zutritt	x
;	x
vier	x
Säulenthore	x
führen	x
von	x
den	x
vier	x
Seiten	x
,	x
aus	x
vier	x
Straßen	x
hinein	x
.	x
Jch	x
äußerte	x
,	x
diese	indirect
ikarischen	indirect
Gärten	indirect
gäben	indirect
nichts	indirect
an	indirect
Schönheit	indirect
den	indirect
Londoner	indirect
Square	indirect
's	indirect
nach	indirect
.	indirect
Das	x
wollte	x
aber	x
mein	x
Gefährte	x
nicht	x
wahr	x
haben	x
.	x
Er	x
rief	x
:	x
ich	x
möchte	x
doch	x
nicht	x
die	x
aristokratischen	x
,	x
ausschließlichen	x
Londoner	x
Square	x
's	x
,	x
wo	x
nur	x
steinreiche	x
Nachbaren	x
hinein	x
können	x
,	x
deren	x
Jeder	x
seine	x
Schlüssel	x
hat	x
,	x
und	x
die	x
mit	x
hohen	x
dicken	x
Eisengittern	x
umzäumt	x
sind	x
,	x
wo	x
kein	x
armerer	x
Stadtbewohner	x
Zutritt	x
erhalten	x
kann	x
,	x
damit	x
vergleichen	x
.	x
Jch	x
mußte	x
ihm	x
leider	x
Zustimmung	x
geben	x
,	x
denn	x
dieser	x
Uebelstand	x
besteht	x
auch	x
in	x
der	x
That	x
.	x
Eugen	x
machte	x
mich	x
auf	x
die	x
nebenbefindlichen	x
Privatgärten	x
aufmerksam	x
,	x
die	x
nur	x
durch	x
einen	x
einfachen	x
Draht	x
abgeschieden	x
,	x
und	x
sehr	x
niedlich	x
gehalten	x
waren	x
,	x
auch	x
ähnliche	x
Ausschmückungen	x
hatten	x
.	x
Die	x
Leute	x
müssen	x
viele	x
Gärtner	x
haben	x
,	x
meinte	x
ich	x
.	x
Worauf	x
Eugen	x
mir	x
versicherte	x
,	x
es	indirect
gäbe	indirect
keine	indirect
eigentlichen	indirect
Gärtner	indirect
,	indirect
oder	indirect
nur	indirect
höchst	indirect
wenige	indirect
in	indirect
der	indirect
Stadt	indirect
,	indirect
da	indirect
jede	indirect
Familie	indirect
selbst	indirect
ihr	indirect
Gärtchen	indirect
in	indirect
Ordnung	indirect
zu	indirect
halten	indirect
verstehe	indirect
.	indirect
Die	x
jungen	x
Mädchen	x
namentlich	x
beschäftigen	x
sich	x
hiemit	x
,	x
doch	x
sieht	x
man	x
auch	x
die	x
übrigen	x
Familienmitglieder	x
bei	x
dieser	x
fröhlichen	x
Arbeit	x
.	x
--	x
Da	x
wir	x
noch	x
viel	x
Weges	x
vor	x
uns	x
hatten	x
,	x
bedünkte	x
es	x
mir	x
am	x
Besten	x
,	x
eine	x
Droschke	x
zu	x
nehmen	x
.	x
Eugen	x
lachte	x
mich	x
weidlich	x
aus	x
.	x
Jm	x
ganzen	x
Lande	x
giebt	x
es	x
keine	x
Droschke	x
noch	x
sonstiges	x
Mieth=	x
oder	x
Privatfuhrwerk	x
,	x
sagte	x
er	x
,	x
und	x
das	x
schien	x
ihm	x
,	x
dem	x
Demokraten	x
zu	x
behagen	x
.	x
Wir	x
mußten	x
also	x
schon	x
uns	x
eines	x
der	x
vielen	x
hunderte	x
von	x
Omnibus	x
bedienen	x
.	x
Eben	x
ging	x
einer	x
in	x
der	x
nächsten	x
Straße	x
vorüber	x
.	x
Jch	x
fand	x
ihn	x
aufs	x
Beste	x
eingerichtet	x
;	x
in	x
zwei	x
Etagen	x
eine	x
über	x
der	x
andern	x
;	x
vierzig	x
Personen	x
saßen	x
nach	x
vorn	x
(	x
und	x
nicht	x
seitlich	x
)	x
gekehrt	x
auf	x
acht	x
Bänken	x
zu	x
fünf	x
Plätze	x
jede	x
,	x
und	x
an	x
jeder	x
Bank	x
war	x
ein	x
besonderer	x
Eingang	x
von	x
der	x
Seite	x
.	x
Der	x
Wagen	x
hatte	x
,	x
wie	x
die	x
Postkutsche	x
mit	x
der	x
ich	x
gekommen	x
,	x
eine	x
Menge	x
wichtiger	x
Vorkehren	x
gegen	x
Kälte	x
