tok	cat
Es	x
steht	x
nichts	x
mehr	x
dort	x
als	x
ein	x
kahler	x
Baum	x
und	x
ein	x
windschiefer	x
Pumpbrunnen	x
.	x
Das	x
Haus	x
,	x
der	x
schmale	x
Garten	x
,	x
der	x
große	x
eingezäunte	x
Hofraum	x
,	x
alles	x
ist	x
verschwunden	x
,	x
und	x
eine	x
Planke	x
aus	x
neuen	x
Brettern	x
schließt	x
den	x
wüsten	x
Platz	x
ab	x
.	x
Jetzt	x
deckt	x
der	x
Schnee	x
mitleidsvoll	x
die	x
aufgewühlte	x
Erde	x
zu	x
,	x
und	x
fremd	x
gehen	x
fremde	x
Menschen	x
vorbei	x
und	x
ahnen	x
nicht	x
,	x
wieviel	indirect
Lust	indirect
und	indirect
Leid	indirect
auf	indirect
dem	indirect
eingeplankten	indirect
Stück	indirect
Boden	indirect
gefühlt	indirect
wurde	indirect
,	indirect
wieviel	indirect
Lachen	indirect
und	indirect
Schluchzen	indirect
in	indirect
die	indirect
Lüfte	indirect
scholl	indirect
,	indirect
als	indirect
noch	indirect
das	indirect
einsame	indirect
Haus	indirect
da	indirect
oben	indirect
stand	indirect
neben	indirect
dem	indirect
niederen	indirect
Hügel	indirect
.	indirect
Damals	x
gab	x
es	x
keine	x
breiten	x
Straßen	x
und	x
Gassen	x
,	x
keine	x
kühlen	x
,	x
vornehmen	x
Leute	x
in	x
dem	x
stillen	x
Winkel	x
;	x
unsere	x
Nachbarn	x
,	x
welche	x
da	x
lebten	x
,	x
schlossen	x
sich	x
lustig	x
aneinander	x
,	x
halfen	x
einander	x
,	x
zankten	x
miteinander	x
,	x
vertrauten	x
einander	x
.	x
Es	x
war	x
ein	x
fröhliches	x
Leben	x
da	x
in	x
der	x
Arbeiterecke	x
,	x
und	x
besonders	x
für	x
uns	x
Kinder	x
,	x
wenn	x
die	x
Weihnachtsfeiertage	x
heranrückten	x
.	x
Vorne	x
am	x
Ende	x
des	x
Flures	x
wohnte	x
der	x
dicke	x
Nachbar	x
Krippelmacher	x
und	x
Türe	x
an	x
Türe	x
sein	x
Nachbar	x
,	x
der	x
Weber	x
.	x
Bei	x
dem	x
Krippenmacher	x
war	x
es	x
immer	x
lustig	x
,	x
denn	x
er	x
und	x
sein	x
Sohn	x
,	x
ein	x
flinker	x
lachender	x
Bursche	x
von	x
etwa	x
vierzehn	x
Jahren	x
,	x
waren	x
Musikanten	x
,	x
und	x
wenn	x
die	x
Monate	x
heranrückten	x
,	x
wo	x
die	x
Krippenmacherei	x
ruhte	x
,	x
da	x
nahmen	x
sie	x
ihre	x
Geigen	x
und	x
spielten	x
an	x
Sonntagen	x
in	x
den	x
kleinen	x
Schenken	x
der	x
Vorstadt	x
zum	x
Tanze	x
auf	x
.	x
Je	x
näher	x
aber	x
der	x
Winter	x
kam	x
,	x
desto	x
voller	x
wurde	x
ihre	x
Werkstätte	x
von	x
kleinen	x
Arbeitern	x
,	x
und	x
in	x
den	x
letzten	x
vierzehn	x
Tagen	x
vor	x
dem	x
Christfeste	x
hantierte	x
schon	x
alles	x
,	x
was	x
im	x
ganzen	x
Hause	x
und	x
in	x
der	x
Nachbarschaft	x
geschickte	x
und	x
gesunde	x
Finger	x
hatte	x
.	x
Es	x
war	x
aber	x
auch	x
für	x
uns	x
Kinder	x
eine	x
lustige	x
Arbeit	x
,	x
denn	x
das	x
,	x
was	x
wir	x
da	x
machten	x
,	x
war	x
ja	x
halb	x
Spiel	x
für	x
uns	x
und	x
halb	x
Erwerb	x
.	x
Gar	x
wenige	x
Menschen	x
mögen	x
jemals	x
gesehen	x
haben	x
,	x
wie	x
so	x
ein	x
Kripplein	x
entsteht	x
,	x
welches	x
zur	x
Weihnachtszeit	x
auf	x
dem	x
Markte	x
eine	x
große	x
Rolle	x
spielt	x
,	x
die	x
Schaufenster	x
aller	x
Spielwarenhandlungen	x
schmückt	x
und	x
das	x
Entzücken	x
aller	x
Kinder	x
ist	x
.	x
Selbst	x
die	x
,	x
die	x
es	x
machten	x
,	x
freuten	x
sich	x
,	x
wenn	x
es	x
so	x
glitzernd	x
und	x
flimmernd	x
fertig	x
vor	x
ihnen	x
stand	x
.	x
Wie	x
sie	x
es	x
machten	x
?	x
Auf	x
ein	x
schuhlanges	x
,	x
flaches	x
Brettchen	x
,	x
das	x
zur	x
Hälfte	x
grün	x
bemalt	x
ist	x
,	x
werden	x
an	x
allen	x
vier	x
Ecken	x
Holzstäbchen	x
festgeleimt	x
,	x
die	x
vorderen	x
zwei	x
sind	x
handhoch	x
,	x
die	x
hinteren	x
doppelt	x
so	x
lang	x
.	x
Sind	x
die	x
Gestelle	x
also	x
hergerichtet	x
,	x
dann	x
kommen	x
große	x
Kübel	x
voll	x
Leimwasser	x
,	x
in	x
dieses	x
werden	x
breite	x
Bogen	x
von	x
dickem	x
,	x
grauem	x
Papier	x
getaucht	x
,	x
wieder	x
herausgezogen	x
und	x
dann	x
zu	x
unförmigen	x
Knäueln	x
zusammengedrückt	x
;	x
alle	x
die	x
großen	x
und	x
kleinen	x
Hände	x
formen	x
aus	x
diesem	x
feuchten	x
zerknüllten	x
Papier	x
über	x
die	x
vier	x
Stäbchen	x
gespannte	x
Felsen	x
,	x
welche	x
sich	x
kühn	x
nach	x
hinten	x
aufbauen	x
und	x
ganz	x
unten	x
in	x
der	x
Mitte	x
eine	x
kleine	x
Höhle	x
bilden	x
.	x
Das	x
läßt	x
sich	x
nicht	x
gut	x
so	x
hübsch	x
erzählen	x
,	x
wie	x
es	x
flinke	x
Finger	x
zurechtmachen	x
,	x
wenn	x
jedoch	x
über	x
diese	x
grauen	x
,	x
leimfeuchten	x
Felsen	x
zerstoßener	x
Glimmer	x
gesiebt	x
wird	x
und	x
blaugrauer	x
Streusand	x
,	x
dann	x
bedarf	x
es	x
keiner	x
großen	x
Einbildungskraft	x
,	x
sich	x
glitzerndes	x
Felsgestein	x
vorzustellen	x
.	x
Kleine	x
steife	x
Bäumlein	x
aus	x
grobem	x
Draht	x
und	x
grünem	x
Papier	x
,	x
aufgefärbtes	x
zartes	x
Moos	x
,	x
Strohblumenknösplein	x
werden	x
dann	x
auf	x
die	x
Felsen	x
geklebt	x
,	x
in	x
der	x
Höhle	x
wird	x
ein	x
winziges	x
Futterkripplein	x
festgemacht	x
,	x
in	x
dieses	x
kommen	x
zierliche	x
Strohhalme	x
,	x
und	x
darauf	x
wird	x
das	x
splitternackte	x
Christkindlein	x
gebettet	x
.	x
Ochs	x
und	x
Esel	x
sind	x
alsdann	x
die	x
nächsten	x
,	x
welche	x
ihren	x
Einzug	x
halten	x
,	x
diese	x
kleinen	x
Tontierlein	x
werden	x
zu	x
Häupten	x
des	x
Sohnes	x
Gottes	x
gestellt	x
,	x
im	x
Vordergrunde	x
aber	x
werden	x
Maria	x
und	x
Joseph	x
festgeleimt	x
,	x
die	x
beiden	x
samt	x
dem	x
Jesuskinde	x
haben	x
große	x
Heiligenscheine	x
aus	x
Rauschgold	x
,	x
und	x
da	x
die	x
ganze	x
Rauschgoldarbeit	x
in	x
einem	x
Handgriffe	x
gehen	x
muß	x
,	x
wird	x
auch	x
gleich	x
der	x
Morgenstern	x
,	x
welcher	x
über	x
der	x
Krippe	x
schwebt	x
,	x
an	x
ein	x
Stückchen	x
Draht	x
geklebt	x
und	x
an	x
die	x
höchste	x
Felsenspitze	x
gehängt	x
.	x
Leuchtet	x
der	x
Stern	x
,	x
dann	x
lassen	x
die	x
Krippenmacher	x
den	x
Müller	x
mit	x
dem	x
Mehlsack	x
auf	x
dem	x
Rücken	x
,	x
die	x
Bäuerin	x
mit	x
dem	x
Eierkorb	x
,	x
den	x
Hirten	x
mit	x
seinen	x
Schafen	x
aufmarschieren	x
.	x
Zuallerletzt	x
werden	x
auf	x
einem	x
Felsen	x
die	x
Heiligen	x
Drei	x
Könige	x
mit	x
ihren	x
Opfergaben	x
aufgestellt	x
,	x
und	x
wären	x
die	x
drei	x
Unglücklichen	x
lebendig	x
,	x
so	x
müßten	x
sie	x
eines	x
elenden	x
Todes	x
sterben	x
,	x
denn	x
es	x
führt	x
nirgends	x
ein	x
Weg	x
zu	x
jener	x
Felsplatte	x
,	x
von	x
welcher	x
sie	x
immerfort	x
zu	x
dem	x
Stern	x
emporschauen	x
.	x
Es	x
war	x
also	x
wieder	x
einmal	x
Weihnacht	x
,	x
und	x
flimmernd	x
standen	x
auf	x
treppenförmigen	x
Brettern	x
die	x
Krippen	x
rundherum	x
in	x
der	x
Stube	x
und	x
hingen	x
auf	x
schaukelartigen	x
Gestellen	x
sogar	x
an	x
den	x
Wänden	x
und	x
von	x
der	x
Decke	x
nieder	x
.	x
Der	x
Nachbar	x
Weber	x
,	x
dem	x
die	x
Füße	x
schwer	x
waren	x
,	x
weil	x
er	x
tagsüber	x
an	x
dem	x
Tretstuhl	x
arbeitete	x
,	x
kam	x
auch	x
hinüber	x
in	x
die	x
helle	x
warme	x
Stube	x
,	x
saß	x
müde	x
da	x
und	x
hörte	x
dem	x
Geplapper	x
der	x
kleinen	x
Arbeiter	x
zu	x
,	x
denn	x
da	x
wurden	x
ganze	x
Schauspiele	x
aufgeführt	x
,	x
den	x
Tonfiguren	x
wurden	x
allerhand	x
wundersame	x
Reden	x
in	x
den	x
Mund	x
gelegt	x
,	x
ja	x
sogar	x
Ochs	x
und	x
Esel	x
unterhielten	x
sich	x
miteinander	x
,	x
die	x
Schafe	x
blökten	x
oft	x
herdenweise	x
,	x
und	x
das	x
Kindlein	x
in	x
der	x
Krippe	x
mußte	x
vor	x
Kälte	x
so	x
unmenschlich	x
laut	x
schreien	x
,	x
wie	x
nur	x
ein	x
langer	x
Bursche	x
mit	x
erfrorenen	x
Ohren	x
und	x
Händen	x
sich	x
zurechtlegen	x
konnte	x
,	x
daß	indirect
er	indirect
schreien	indirect
würde	indirect
,	x
wenn	x
er	x
splitternackt	x
zur	x
Weihnachtszeit	x
in	x
einer	x
Krippe	x
liegen	x
müßte	x
.	x
Manchmal	x
wurde	x
die	x
Arbeit	x
ein	x
wenig	x
beiseite	x
gelegt	x
,	x
und	x
gebratene	x
Kartoffeln	x
rückten	x
an	x
,	x
der	x
Krippelmacher	x
geigte	x
ein	x
Stück	x
,	x
oder	x
die	x
zwei	x
kleinen	x
Mädchen	x
des	x
Webers	x
sangen	x
,	x
denn	x
die	x
konnten	x
zwitschern	x
wie	x
die	x
Lerchen	x
,	x
so	x
daß	x
selbst	x
der	x
Vater	x
mühsam	x
den	x
schweren	x
Husten	x
anhielt	x
,	x
um	x
seine	x
Kinder	x
zu	x
hören	x
.	x
Der	x
Weber	x
war	x
ein	x
sehr	x
armer	x
Mann	x
,	x
der	x
harte	x
Tage	x
mit	x
unbeugsamer	x
Geduld	x
ertragen	x
hatte	x
.	x
Er	x
war	x
krank	x
,	x
recht	x
krank	x
;	x
niemand	x
als	x
er	x
wußte	x
,	x
wie	indirect
es	indirect
um	indirect
ihn	indirect
stand	indirect
,	x
denn	x
er	x
saß	x
hustend	x
vom	x
grauen	x
Morgen	x
bis	x
in	x
den	x
sinkenden	x
Abend	x
am	x
Webstuhl	x
und	x
arbeitete	x
schweigend	x
,	x
damit	x
seine	x
Kinder	x
ihr	x
karges	x
Brot	x
hatten	x
.	x
Seit	x
sein	x
Weib	x
tot	x
war	x
,	x
hatte	x
ihn	x
niemand	x
lachen	x
gesehen	x
;	x
was	x
sie	x
getan	x
hatte	x
,	x
das	x
fleißige	x
Weib	x
,	x
mußte	x
nun	x
er	x
,	x
der	x
unbeholfene	x
Mann	x
,	x
für	x
die	x
beiden	x
Mädchen	x
tun	x
,	x
er	x
wusch	x
und	x
kochte	x
nun	x
sogar	x
für	x
die	x
Seinen	x
.	x
Dabei	x
fiel	x
seine	x
Brust	x
immer	x
mehr	x
ein	x
,	x
die	x
Schultern	x
wurden	x
immer	x
höher	x
,	x
und	x
die	x
entsagenden	x
Augen	x
schauten	x
immer	x
größer	x
aus	x
dem	x
wachsbleichen	x
hageren	x
Gesicht	x
.	x
Zuweilen	x
,	x
wenn	x
der	x
behäbige	x
Krippenmacher	x
an	x
des	x
Nachbars	x
Tür	x
pochte	x
und	x
mit	x
seiner	x
lachenden	x
Stimme	x
hineinrief	x
:	x
»	x
He	x
!	x
Nachbar	x
!	x
Gehen	x
wir	x
nicht	x
ein	x
wenig	x
in	x
die	x
Felder	x
mit	x
unseren	x
Kindern	x
?	x
«	x
,	x
ließ	x
er	x
das	x
Schifflein	x
ruhen	x
,	x
wandte	x
sich	x
auf	x
dem	x
schmalen	x
Sitzbrett	x
um	x
und	x
sagte	x
in	x
einem	x
Tone	x
,	x
der	x
aus	x
seinem	x
sehnsüchtigen	x
Herzen	x
herauskam	x
:	x
»	x
Ja	x
,	x
Nachbar	x
Krippelmacher	x
,	x
ich	x
dacht	x
heut	x
schon	x
selber	x
dran	x
,	x
ich	x
will	x
nur	x
erst	x
meine	x
Kinder	x
zusammenrichten.	x
«	x
Der	x
dürftige	x
Putz	x
der	x
Mädchen	x
wurde	x
dann	x
hervor	x
geholt	x
,	x
und	x
mit	x
frauenhafter	x
Fürsorge	x
zupfte	x
und	x
steckte	x
der	x
stille	x
Mann	x
jedes	x
Band	x
und	x
jede	x
Falte	x
zurecht	x
,	x
und	x
dann	x
nahm	x
er	x
die	x
Kinder	x
rechts	x
und	x
links	x
an	x
die	x
Hand	x
und	x
ging	x
mit	x
dem	x
Krippelmacher	x
hinaus	x
über	x
die	x
Feldwege	x
durch	x
das	x
wogende	x
Korn	x
.	x
Aber	x
selbst	x
da	x
draußen	x
konnte	x
er	x
schweigend	x
dahinschreiten	x
,	x
in	x
die	x
blaue	x
Luft	x
hineinschauen	x
und	x
sie	x
einschlürfen	x
wie	x
einen	x
köstlichen	x
Trank	x
.	x
Seine	x
gelblichen	x
Wangen	x
röteten	x
sich	x
dann	x
leicht	x
,	x
das	x
dünne	x
ergrauende	x
Haar	x
schob	x
er	x
dann	x
immer	x
mit	x
allen	x
Fingern	x
in	x
die	x
Höhe	x
,	x
als	x
sollte	x
die	x
Luft	x
auch	x
durch	x
seinen	x
müden	x
Kopf	x
strömen	x
.	x
Sie	x
kehrten	x
erst	x
heim	x
,	x
wenn	x
die	x
hohen	x
Pappeln	x
an	x
der	x
Straße	x
lange	x
Schatten	x
warfen	x
,	x
wenn	x
alles	x
voll	x
Abendfrieden	x
und	x
Ruhe	x
war	x
da	x
draußen	x
...	x
jedesmal	x
blieb	x
er	x
bei	x
dem	x
letzten	x
Baum	x
stehen	x
