tok	cat
GR	x
.	x
Fleminger	x
führt	x
aus	x
,	x
daß	indirect
die	indirect
Majoritätsparteien	indirect
des	indirect
Gemeinderates	indirect
die	indirect
Bevölkerung	indirect
mehr	indirect
in	indirect
Schutz	indirect
nehmen	indirect
als	indirect
die	indirect
Opposition	indirect
.	indirect
Es	x
sei	x
ein	x
billiges	x
Mittel	x
der	x
Minorität	x
,	x
Anträge	x
zu	x
stellen	x
und	x
sodann	x
von	x
der	x
Majorität	x
die	x
Beschaffung	x
der	x
nötigen	x
Summen	x
zu	x
verlangen	x
.	x
Die	x
Ausgestaltung	x
des	x
Schulwesens	x
,	x
die	x
Verbesserung	x
der	x
Lage	x
der	x
städt	x
.	x
Beamten-	x
und	x
Lehrerschaft	x
haben	x
große	x
Mehrauslagen	x
erfordert	x
.	x
Letztere	x
müssen	x
natürlich	x
bedeckt	x
werden	x
.	x
Es	x
sei	x
unrichtig	x
,	x
wenn	x
man	x
behauptet	x
,	x
daß	indirect
durch	indirect
die	indirect
Erhöhung	indirect
des	indirect
Zinshellers	indirect
der	indirect
Hausbesitz	indirect
entwertet	indirect
werde	indirect
,	indirect
tatsächlich	indirect
trete	indirect
dies	indirect
ein	indirect
,	indirect
wenn	indirect
die	indirect
Stadtgemeinde	indirect
durch	indirect
Anwachsen	indirect
des	indirect
Defizites	indirect
jeden	indirect
Kredit	indirect
einbüße	indirect
.	indirect
Es	x
sei	x
das	x
Grundprinzip	x
einer	x
jeden	x
guten	x
Verwaltung	x
,	x
daß	x
im	x
Haushalte	x
ein	x
Einklang	x
zwischen	x
Einnahmen	x
und	x
Ausgaben	x
erzielt	x
wird	x
.	x
Ausfälle	x
müssen	x
ehestens	x
gedeckt	x
werden	x
.	x
(	x
GR	x
.	x
Dr.	x
Mayer	x
Ebner	x
:	x
„	x
Die	x
Tragfähigkeit	x
der	x
Bevölkerung	x
muß	x
nicht	x
geprüft	x
werden	x
?	x
“	x
)	x
Redner	x
erklärt	x
schließlich	x
für	x
die	x
gegenwärtige	x
Zinshellervorlage	x
zu	x
stimmen	x
.	x
Nach	x
einigen	x
tatsächlichen	x
Berichtigungen	x
der	x
GR	x
.	x
Oehlgießer	x
,	x
Wender	x
und	x
Dr.	x
Straucher	x
wird	x
zur	x
Abstimmung	x
über	x
die	x
bezüglich	x
des	x
Zinshellergesetzes	x
eingebrachten	x
Anträge	x
geschritten	x
.	x
Es	x
gelangten	x
die	x
An	x
träge	x
der	x
Sektion	x
und	x
des	x
Magistrates	x
zur	x
Annahme	x
.	x
Der	x
Antrag	x
Dr.	x
Ebner	x
wird	x
abgelehnt	x
.	x
Die	x
Durchführung	x
der	x
Schulreform	x
.	x
Hierauf	x
wird	x
zur	x
Erledigung	x
der	x
schwebenden	x
Schulfragen	x
geschritten	x
.	x
Die	x
Gemeinderäte	x
R.	x
v.	x
Jasiniecki	x
,	x
Wojtko	x
und	x
Hofrat	x
v.	x
Duzinkiewicz	x
geben	x
Erklärungen	x
ab	x
,	x
die	x
darin	x
gipfeln	x
,	x
daß	indirect
die	indirect
