tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Telegramme	Telegramme	Telegramm	NN	N.Reg.Nom.Pl.Neut	yes	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Bad-Gastein	Bad-Gastein	Bad-Gastein	NN	N.Name.Nom.Sg.*	yes	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
24.	24.	24.	ADJA	ADJA.Pos.Nom.Sg.Masc	yes	-	-	-	-	-
Juli.	Juli.	Juli.	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
date	dato	--	FM	FM	yes	-	-	-	-	-
(	(	--	$(	SYM.Paren.Left	yes	-	-	-	-	-
Orig.-Teleg	Orig.-Teleg	Orig.-Teleg	NE	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
des	des	der	ART	ART.Def.Gen.Sg.Masc	yes	-	-	-	-	-
„	&quot;	&quot;	$(	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
Mähr	Mär	Mär	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Tagbl	Tagbl	Tagbl	FM.xy	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
“	&quot;	&quot;	$(	CARD	no	-	-	-	-	-
)	)	--	$(	SYM.Paren.Right	no	-	-	-	-	-
Der	Der	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Kaiser	Kaiser	Kaiser	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
gestern	gestern	gestern	ADV	ADV	no	-	-	-	-	-
um	um	um	APPR	APPR.Acc	no	-	-	-	-	-
5¾	53/4	53/4	CARD	CARD	no	-	-	-	-	-
U.	U.	U.	NN	APPR.Dat	no	-	-	-	-	-
Nachm.	Nachm.	Nachm.	NN	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Bad-Gastein	Bad-Gastein	Bad-Gastein	NN	N.Name.Dat.Sg.Masc	no	-	-	-	-	-
im	im	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
besten	besten	gut	ADJA	ADJA.Sup.Dat.Sg.Neut	no	-	-	-	-	-
Wohlsein	Wohlsein	Wohlsein	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
verlassen	verlassen	verlassen	VVINF	VINF.Full.-	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Von	Von	von	APPR	APPR.Dat	yes	reported.speech.1	-	-	-	-
dem	dem	der	ART	ART.Def.Dat.Sg.Neut	no	reported.speech.1	-	-	-	-
auf	auf	auf	APPR	APPR.Auf	no	reported.speech.1	-	-	-	-
dem	dem	der	ART	ART.Def.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
Straubinger	Straubinger	Straubinger	ADJA	ADJA.Pos.*.*.*	no	reported.speech.1	-	-	-	-
Platze	Platze	Platz	NN	N.Reg.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
befindlichen	befindlichen	befindlich	ADJA	ADJA.Pos.Dat.Sg.Neut	no	reported.speech.1	-	-	-	-
Publicum	Publikum	Publikum	NN	N.Reg.Dat.Sg.Neut	no	reported.speech.1	-	speaker.1	-	-
mit	mit	mit	APPR	APPR.Dat	no	reported.speech.1	-	-	-	-
begeisterten	begeisterten	begeistert	ADJA	ADJA.Pos.Dat.Pl.Masc	no	reported.speech.1	-	-	-	-
Hochrufen	Hochrufen	Hochruf	NN	N.Reg.Dat.Pl.Masc	no	reported.speech.1	-	-	-	-
begrüßt	begrüßt	begrüßen	VVPP	VPP.Full.Psp	no	reported.speech.1	-	-	intexpr.1	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
nahm	nahm	nehmen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Kaiser	Kaiser	Kaiser	NN	N.Reg.Nom.Sg.Masc	no	-	-	speaker.3	-	-
die	die	der	ART	ART.Def.Acc.Sg.Fem	no	reported.speech.2	-	-	-	-
Abschiedsbegrüßung	Abschiedsbegrüßung	Abschiedsbegrüßung	NN	N.Reg.Acc.Sg.Fem	no	reported.speech.2	-	-	intexpr.2	-
des	des	der	ART	ART.Def.Gen.Sg.Masc	no	reported.speech.2	-	-	-	-
Statthalters	Statthalters	Statthalter	NN	N.Reg.Gen.Sg.Masc	no	reported.speech.2	-	speaker.2	-	-
Grafen	Grafen	Grafe	NN	N.Reg.Gen.Sg.Masc	no	reported.speech.2	-	speaker.2	-	-
Thun	Tun	tun	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	reported.speech.2	-	speaker.2	-	-
,	,	--	$,	SYM.Pun.Comma	no	reported.speech.2	-	-	-	-
