tok	normtok	lemma	pos	rfpos	sentstart	fictional	cat
Das	Das	d	ART	ART.Def.Nom.Sg.Neut	yes	yes	x
»	&quot;	&quot;	$(	ADJA.Pos.Nom.Sg.Neut	no	yes	x
Kind	Kind	Kind	NN	N.Reg.Nom.Sg.Neut	no	yes	x
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	yes	x
Sühne	Sühne	Sühne	NN	N.Reg.Gen.Sg.Fem	no	yes	x
«	&quot;	&quot;	$(	N.Name.Nom.Sg.*	no	yes	x
Von	Von	von	APPR	APPR.Dat	yes	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Neut	no	yes	x
Kinde	Kinde	Kind	NN	N.Reg.Dat.Sg.Neut	no	yes	x
handelt	handelt	handeln	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	yes	x
diese	diese	diese	PDAT	PRO.Dem.Attr.-.Nom.Sg.Fem	no	yes	x
Geschichte	Geschichte	Geschichte	NN	N.Reg.Nom.Sg.Fem	no	yes	x
.	.	.	$.	SYM.Pun.Sent	no	yes	x
Es	Es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	yes	x
hieß	hieß	heißen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	yes	x
Lea	Lea	Lea	NE	N.Name.Nom.Sg.Fem	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
war	war	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	yes	x
vierjährig	vierjährig	vierjahrig	ADJD	ADJD.Pos	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
hatte	hatte	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	yes	x
schwarze	schwarze	schwarz	ADJA	ADJA.Pos.Acc.Pl.Neut	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
glänzende	glänzende	glänzend	ADJA	ADJA.Pos.Acc.Pl.Neut	no	yes	x
Haare	Haare	Haar	NN	N.Reg.Acc.Pl.Neut	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
große	große	groß	ADJA	ADJA.Pos.Acc.Pl.Neut	no	yes	x
dunkle	dunkle	dunkel	ADJA	ADJA.Pos.Acc.Pl.Neut	no	yes	x
Augen	Augen	Auge	NN	N.Reg.Acc.Pl.Neut	no	yes	x
.	.	.	$.	SYM.Pun.Sent	no	yes	x
Diese	Diese	diese	PDAT	PRO.Dem.Attr.-.Nom.Pl.Neut	yes	yes	x
Augen	Augen	Auge	NN	N.Reg.Nom.Pl.Neut	no	yes	x
aber	aber	aber	ADV	ADV	no	yes	x
waren	waren	sein	VAFIN	VFIN.Sein.3.Pl.Past.Ind	no	yes	x
nicht	nicht	nicht	PTKNEG	PART.Neg	no	yes	x
