tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Alle	Alle	aller	PIAT	PRO.Indef.Attr.-.*.*.*	yes	direct.speech.2|indirect.speech.1	-	-	-	-
Geisternacht	Geisternacht	Geisternacht	NN	N.Reg.Nom.Sg.Fem	no	direct.speech.2|indirect.speech.1	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	direct.speech.2	frame.1	-	-	-
wie	wie	wie	PWAV	CONJ.Comp.-	no	direct.speech.2	frame.1	-	-	-
uns	uns	uns	PPER	PRO.Pers.Subst.1.Dat.Pl.*	no	direct.speech.2	frame.1	-	-	-
ja	ja	ja	ADV	ADV	no	direct.speech.2	frame.1	-	-	-
die	die	der	ART	ART.Def.Acc.Pl.Masc	no	direct.speech.2	frame.1	-	-	-
besten	besten	gut	ADJA	ADJA.Sup.Acc.Pl.Masc	no	direct.speech.2	frame.1	-	-	-
Kenner	Kenner	Kenner	NN	N.Reg.Acc.Pl.Masc	no	direct.speech.2	frame.1	speaker.1	-	-
versichern	versichern	versichern	VVINF	VINF.Full.-	no	direct.speech.2	frame.1	-	intexpr.1	-
,	,	--	$,	SYM.Pun.Comma	no	direct.speech.2	frame.1	-	-	-
soll	soll	sollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	direct.speech.2|indirect.speech.1	-	-	-	-
nur	nur	nur	ADV	ADV	no	direct.speech.2|indirect.speech.1	-	-	-	-
eine	eine	ein	ART	ART.Indef.Acc.Sg.Fem	no	direct.speech.2|indirect.speech.1	-	-	-	-
gewisse	gewisse	gewiß	ADJA	ADJA.Pos.Acc.Sg.Fem	no	direct.speech.2|indirect.speech.1	-	-	-	-
Zeit	Zeit	Zeit	NN	N.Reg.Acc.Sg.Fem	no	direct.speech.2|indirect.speech.1	-	-	-	-
dauern	dauern	dauern	VVINF	VINF.Full.-	no	direct.speech.2|indirect.speech.1	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	direct.speech.2|indirect.speech.1	-	-	-	-
—	--	-	$(	N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
Die	Die	der	ART	ART.Def.Nom.Sg.Fem	no	direct.speech.3	-	-	-	-
Schachtel	Schachtel	Schachtel	NN	N.Reg.Nom.Sg.Fem	no	direct.speech.3	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	direct.speech.3	-	-	-	-
