tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Sie	Sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	yes	-	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
eine	eine	ein	ART	ART.Indef.Nom.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
Reihe	Reihe	Reihe	NN	N.Reg.Nom.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
von	von	von	APPR	APPR.Dat	no	reported.thought.1.nonfact	-	-	-	-
mehr	mehr	mehr	PIAT	PRO.Indef.Attr.-.*.*.*	no	reported.thought.1.nonfact	-	-	-	-
oder	oder	oder	KON	CONJ.Coord.-	no	reported.thought.1.nonfact	-	-	-	-
weniger	weniger	weniger	PIAT	PRO.Indef.Attr.-.Acc.Pl.Fem	no	reported.thought.1.nonfact	-	-	-	-
unterhaltenden	unterhaltenden	unterhaltend	ADJA	ADJA.Pos.Acc.Pl.Fem	no	reported.thought.1.nonfact	-	-	-	-
oder	oder	oder	KON	CONJ.Coord.-	no	reported.thought.1.nonfact	-	-	-	-
geschichtlich	geschichtlich	geschichtlich	ADJD	ADJD.Pos	no	reported.thought.1.nonfact	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.thought.1.nonfact	-	-	-	-
biographisch	biographisch	biographisch	ADJD	ADJD.Pos	no	reported.thought.1.nonfact	-	-	-	-
wertvollen	wertvollen	wertvoll	ADJA	ADJA.Pos.Acc.Pl.Fem	no	reported.thought.1.nonfact	-	-	-	-
Erinnerungen	Erinnerungen	Erinnerung	NN	N.Reg.Acc.Pl.Fem	yes	reported.thought.1.nonfact	-	-	intexpr.1	-
eines	eines	ein	ART	ART.Indef.Gen.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
sechzig	sechzig	sechzig	CARD	CARD	no	reported.thought.1.nonfact	-	-	-	-
Jahre	Jahre	Jahr	NN	N.Reg.Acc.Pl.Neut	no	reported.thought.1.nonfact	-	-	-	-
alt	alt	alt	ADJD	ADJD.Pos	no	reported.thought.1.nonfact	-	-	-	-
gewordenen	gewordenen	geworden	ADJA	ADJA.Pos.Gen.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
Mannes	Mannes	Mann	NN	N.Reg.Gen.Sg.Masc	no	reported.thought.1.nonfact	-	speaker.1	-	-
;	;	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	no	-	-	-	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
kein	kein	kein	PIAT	PRO.Indef.Attr.-.Acc.Sg.Neut	no	-	-	-	-	-
Bild	Bild	Bild	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
derjenigen	derjenigen	derjenige	PDS	PRO.Dem.Attr.-.Gen.Sg.Fem	no	-	-	-	-	-
Zeit	Zeit	Zeit	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
geliefert	geliefert	liefern	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
worin	worin	worin	PWAV	PROADV.Inter	no	-	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
dieses	dieses	dieser	PDAT	PRO.Dem.Attr.-.Nom.Sg.Neut	no	-	-	-	-	-
jedenfalls	jedenfalls	jedenfalls	ADV	ADV	no	-	-	-	-	-
fruchtbare	fruchtbare	fruchtbar	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Leben	Leben	Leben	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
entwickelt	entwickelt	entwickeln	VVPP	VPP.Full.Psp	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
