tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Aus	Aus	aus	APPR	APPR.Dat	yes	-	frame.1	-	-	-
dem	dem	d	ART	ART.Def.Dat.Sg.Masc	no	-	frame.1	-	-	-
Bericht	Bericht	Bericht	NN	N.Reg.Dat.Sg.Masc	no	-	frame.1	-	intexpr.1	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	frame.1	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	-	frame.1	-	-	-
ersehen	ersehen	ersehen	VVINF	VINF.Full.-	no	-	frame.1	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.writing.1|reported.speech.24	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	indirect.writing.1|reported.speech.24	-	-	-	-
Kardinal-Staatssekretär	Kardinal-Staatssekretär	Kardinal-Staatssekretär	NN	N.Reg.Nom.Sg.Masc	no	indirect.writing.1|reported.speech.24	-	speaker.2_24_4_25	-	-
Antonelli	Antonelli	Antonelli	NE	N.Name.Nom.Sg.Masc	no	indirect.writing.1|reported.speech.24	-	speaker.2_24_4_25	-	-
dem	dem	d	ART	ART.Def.Dat.Sg.Masc	no	indirect.writing.1|reported.speech.24	-	-	-	-
österreichischen	österreichischen	österreichisch	ADJA	ADJA.Pos.Dat.Sg.Masc	no	indirect.writing.1|reported.speech.24	-	-	-	-
Botschafter	Botschafter	Botschafter	NN	N.Reg.Dat.Sg.Masc	no	indirect.writing.1|reported.speech.24	-	-	-	-
gegenüber	gegenüber	gegenüber	APPR	APPO.Dat	no	indirect.writing.1|reported.speech.24	-	-	-	-
eine	eine	eine	ART	ART.Indef.Nom.Sg.Fem	no	indirect.writing.1|reported.speech.24	-	-	-	-
Transaktion	Transaktion	Transaktion	NN	N.Reg.Nom.Sg.Fem	no	indirect.writing.1|reported.speech.24	-	-	-	-
als	als	als	KOKOM	APPR.Als	no	indirect.writing.1|reported.speech.24	-	-	-	-
unmöglich	unmöglich	unmöglich	ADJD	ADJD.Pos	no	indirect.writing.1|reported.speech.24	-	-	-	-
bezeichnete	bezeichnete	bezeichnen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	indirect.writing.1|reported.speech.24	-	-	intexpr.24	-
