tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Die	Die	d	ART	ART.Def.Nom.Sg.Fem	yes	reported.speech.17	-	-	-	-
luxemburger	Luxemburger	luxemburger	ADJA	ADJA.Pos.*.*.*	no	reported.speech.17	-	-	-	-
Frage	Frage	Frage	NN	N.Reg.Nom.Sg.Fem	no	reported.speech.17	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
völlig	völlig	völlig	ADJD	ADJD.Pos	no	-	-	-	-	-
vom	vom	vom	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Tisch	Tisch	Tisch	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
ge	ge	Ge	NE	FM	no	-	-	-	-	-
schoben	schoben	schieben	VVFIN	VFIN.Full.3.Pl.Past.Ind	yes	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wir	Wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	yes	-	frame.1	speaker.1	-	-
wissen	wissen	wissen	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	-	frame.1	-	intexpr.1	-
zwar	zwar	zwar	ADV	ADV	no	-	frame.1	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.thought.1.border=state	-	-	-	-
die	die	d	ART	ART.Def.Nom.Sg.Fem	no	indirect.thought.1.border=state	-	-	-	-
Festung	Festung	Festung	NN	N.Reg.Nom.Sg.Fem	no	indirect.thought.1.border=state	-	-	-	-
in	in	in	APPR	APPR.In	no	indirect.thought.1.border=state	-	-	-	-
Wahrheit	Wahrheit	Wahrheit	NN	N.Reg.Dat.Sg.Fem	no	indirect.thought.1.border=state	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	indirect.thought.1.border=state	-	-	-	-
