tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Nicht	Nicht	nicht	PTKNEG	PART.Neg	yes	-	-	-	-	-
die	die	d	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Tyroler	Tiroler	tiroler	ADJA	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
allein	allein	allein	ADV	ADV	no	-	-	-	-	-
werden	werden	werden	VAFIN	VFIN.Aux.3.Pl.Pres.Ind	no	-	-	-	-	-
für	für	für	APPR	APPR.Acc	no	-	-	-	-	-
Begriffe	Begriffe	Begriff	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
wie	wie	wie	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
Freiheit	Freiheit	Freiheit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
Kirche	Kirche	Kirche	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Schule	Schule	Schule	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
unempfänglich	unempfänglich	unempfänglich	ADJD	ADJD.Pos	no	-	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Meint	Meint	meinen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	yes	reported.thought.1.nonfact	-	-	intexpr.1	-
ihr	ihr	sie	PPER	PRO.Pers.Subst.3.Dat.Sg.Fem	no	reported.thought.1.nonfact	-	speaker.1	-	-
z.	z.	z.	APPRART	APPRART.Dat.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
B.	B.	B.	NN	N.Reg.Dat.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
den	den	d	ART	ART.Def.Acc.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
gesetzlichen	gesetzlichen	gesetzlich	ADJA	ADJA.Pos.Acc.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
Sinn	Sinn	Sinn	NN	N.Reg.Acc.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	reported.thought.1.nonfact	-	-	-	-
welcher	welcher	welche	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
zur	zur	zur	APPRART	APPRART.Dat.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
Ausübung	Ausübung	Ausübung	NN	N.Reg.Dat.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
von	von	von	APPR	APPR.Dat	no	reported.thought.1.nonfact	-	-	-	-
Selbstpolizei	Selbstpolizei	Selbstpolizei	NN	N.Reg.Dat.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
nöthig	nötig	nötig	ADJD	ADJD.Pos	no	reported.thought.1.nonfact	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	reported.thought.1.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	reported.thought.1.nonfact	-	-	-	-
an	an	an	APPR	APPR.An	no	reported.thought.1.nonfact	-	-	-	-
dem	dem	d	ART	ART.Def.Dat.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
Schilfrohr	Schilfrohr	Schilfrohr	NN	N.Reg.Dat.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
der	der	d	ART	ART.Def.Gen.Sg.*	no	reported.thought.1.nonfact	-	-	-	-
Theis	Theis	Theis	NE	N.Name.Gen.Sg.*	no	reported.thought.1.nonfact	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.thought.1.nonfact	-	-	-	-
in	in	in	APPR	APPR.In	no	reported.thought.1.nonfact	-	-	-	-
den	den	d	ART	ART.Def.Dat.Pl.Neut	no	reported.thought.1.nonfact	-	-	-	-
Thälern	Tälern	Tal	NN	N.Reg.Dat.Pl.Neut	no	reported.thought.1.nonfact	-	-	-	-
der	der	d	ART	ART.Def.Gen.Pl.Fem	no	reported.thought.1.nonfact	-	-	-	-
Karpathen	Karpathen	Karpathen	NN	N.Reg.Gen.Pl.Fem	no	reported.thought.1.nonfact	-	-	-	-
vorzufinden	vorzufinden	vorfinden	VVIZU	VINF.Full.zu	no	reported.thought.1.nonfact	-	-	-	-
?	?	?	$.	SYM.Pun.Sent	no	reported.thought.1.nonfact	-	-	-	-
Hofft	Hofft	hoffen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	yes	-	frame.2	-	intexpr.2	-
ihr	ihr	sie	PPER	PRO.Pers.Subst.3.Dat.Sg.Fem	no	-	frame.2	speaker.2	-	-
auch	auch	auch	ADV	ADV	no	-	frame.2	-	-	-
bei	bei	bei	APPR	APPR.Dat	no	-	frame.2	-	-	-
uns	uns	wir	PPER	PRO.Pers.Subst.1.Dat.Pl.*	no	-	frame.2	-	-	-
in	in	in	APPR	APPR.In	no	-	frame.2	-	-	-
Oestreich	Österreich	Österreich	NE	N.Name.Dat.Sg.Neut	no	-	frame.2	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.2	-	-	-
in	in	in	APPR	APPR.In	no	-	frame.2	-	-	-
Böhmen	Böhmen	Böhmen	NE	N.Name.Dat.Sg.Neut	no	-	frame.2	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.2	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.thought.2.nonfact	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
Landmann	Landmann	Landmann	NN	N.Reg.Nom.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
sobald	sobald	sobald	KOUS	ADV	no	indirect.thought.2.nonfact	-	-	-	-
seinen	seinen	seine	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
egoistischen	egoistischen	egoistisch	ADJA	ADJA.Pos.Acc.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
Vortheil	Vorteil	Vorteil	NN	N.Reg.Acc.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
so	so	so	ADV	ADV	no	indirect.thought.2.nonfact	-	-	-	-
verstehen	verstehen	verstehen	VVINF	VINF.Full.-	no	indirect.thought.2.nonfact	-	-	-	-
werde	werde	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Subj	no	indirect.thought.2.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	indirect.thought.2.nonfact	-	-	-	-
wie	wie	wie	PWAV	PROADV.Inter	no	indirect.thought.2.nonfact	-	-	-	-
ihn	ihn	er	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
ein	ein	eine	ART	ART.Indef.Nom.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
freier	freier	frei	ADJA	ADJA.Pos.Nom.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
Mann	Mann	Mann	NN	N.Reg.Nom.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
verstehen	verstehen	verstehen	VVINF	VINF.Full.-	no	indirect.thought.2.nonfact	-	-	-	-
muß	muß	müssen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	indirect.thought.2.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	indirect.thought.2.nonfact	-	-	-	-
als	als	als	KOUS	CONJ.SubFin.-	no	indirect.thought.2.nonfact	-	-	-	-
ein	ein	eine	ART	ART.Indef.Nom.Sg.Neut	no	indirect.thought.2.nonfact	-	-	-	-
Stück	Stück	Stück	NN	N.Reg.Nom.Sg.Neut	no	indirect.thought.2.nonfact	-	-	-	-
von	von	von	APPR	APPR.Dat	no	indirect.thought.2.nonfact	-	-	-	-
dem	dem	d	ART	ART.Def.Dat.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
Vortheil	Vorteil	Vorteil	NN	N.Reg.Dat.Sg.Masc	no	indirect.thought.2.nonfact	-	-	-	-
des	des	d	ART	ART.Def.Gen.Sg.Neut	no	indirect.thought.2.nonfact	-	-	-	-
Ganzen	Ganzen	Ganze	NN	N.Reg.Gen.Sg.Neut	no	indirect.thought.2.nonfact	-	-	-	-
?	?	?	$.	SYM.Pun.Sent	no	indirect.thought.2.nonfact	-	-	-	-
Wahrhaftig	Wahrhaftig	wahrhaftig	ADV	ADJD.Pos	yes	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
keine	keine	keine	PIAT	PRO.Indef.Attr.-.Nom.Sg.Fem	no	-	-	-	-	-
liberale	liberale	liberal	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Verfassung	Verfassung	Verfassung	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
macht	macht	machen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
frei	frei	frei	PTKVZ	PART.Verb	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	no	-	-	-	-	-
gibt	gibt	geben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
nur	nur	nur	ADV	ADV	no	-	-	-	-	-
die	die	d	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Möglichkeit	Möglichkeit	Möglichkeit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
frei	frei	frei	ADJD	ADJD.Pos	no	-	-	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	-	-	-	-	-
werden	werden	werden	VAINF	VINF.Aux.-	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Und	Und	und	KON	CONJ.Coord.-	yes	-	-	-	-	-
wir	wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	die	PRELS	PRO.Rel.Subst.-.Acc.Pl.Fem	no	-	-	-	-	-
wir	wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	-	-	-	-
brüderlich	brüderlich	brüderlich	ADJD	ADJD.Pos	no	-	-	-	-	-
alle	alle	alle	PIAT	PRO.Indef.Attr.-.Acc.Pl.Masc	no	-	-	-	-	-
Stämme	Stämme	Stamm	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Völker	Völker	Volk	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
des	des	d	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
Kaiserstaats	Kaiserstaats	Kaiserstaat	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
zur	zur	zur	APPRART	APPRART.Dat.Sg.Fem	no	-	-	-	-	-
Freiheit	Freiheit	Freiheit	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
fähig	fähig	fähig	ADJD	ADJD.Pos	no	-	-	-	-	-
machen	machen	machen	VVINF	VINF.Full.-	no	-	-	-	-	-
wollen	wollen	wollen	VMINF	VFIN.Mod.3.Pl.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
wir	wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	-	-	-	-
haben	haben	haben	VAFIN	VFIN.Haben.1.Pl.Pres.Ind	no	-	-	-	-	-
eine	eine	eine	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
Herculesarbeit	Herculesarbeit	Herculesarbeit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
übernommen	übernommen	übernehmen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	die	PRELS	PRO.Rel.Subst.-.Nom.Sg.Fem	no	-	-	-	-	-
tausend	tausend	tausend	CARD	CARD	no	-	-	-	-	-
Köpfe	Köpfe	Kopf	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
tausend	tausend	tausend	CARD	CARD	no	-	-	-	-	-
warme	warme	warm	ADJA	ADJA.Pos.Acc.Pl.Neut	no	-	-	-	-	-
Herzen	Herzen	Herz	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
erfordert	erfordert	erfordern	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Hunderte	Hunderte	Hundert	NN	N.Reg.Nom.Pl.Neut	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
Opfern	Opfern	Opfer	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
kosten	kosten	kosten	VVINF	VINF.Full.-	no	-	-	-	-	-
wird	wird	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	die	d	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
vor	vor	vor	APPR	APPR.Vor	no	-	-	-	-	-
Allem	Allem	alle	PIAT	PRO.Indef.Subst.-.Dat.Sg.Neut	no	-	-	-	-	-
Einheit	Einheit	Einheit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Plan	Plan	Plan	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
verständige	verständige	verständig	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Leitung	Leitung	Leitung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
erfordert	erfordert	erfordern	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Und	Und	und	KON	CONJ.Coord.-	yes	-	-	-	-	-
die	die	d	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Führer	Führer	Führer	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Leiter	Leiter	Leiter	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
diesem	diesem	diese	PDAT	PRO.Dem.Attr.-.Dat.Sg.Masc	no	-	-	-	-	-
ungeheuern	ungeheuren	ungeheuer	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Entwicklungsproceß	Entwicklungsprozeß	Entwicklungsprozeß	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
müssen	müssen	müssen	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	-	-	-	-	-
die	die	d	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Minister	Minister	Minister	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
des	des	d	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
Gesammtstaats	Gesamtstaats	Gesamtstaat	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
nur	nur	nur	ADV	ADV	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
können	können	können	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	-	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Acc.Sg.Neut	no	-	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
weil	weil	weil	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
dieser	dieser	diese	PDAT	PRO.Dem.Attr.-.Nom.Sg.Masc	no	-	-	-	-	-
Entwicklungsproceß	Entwicklungsprozeß	Entwicklungsprozeß	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
das	das	d	ART	ART.Def.Acc.Sg.Neut	no	-	-	-	-	-
ganze	ganze	ganz	ADJA	ADJA.Pos.Acc.Sg.Neut	no	-	-	-	-	-
Staatsleben	Staatsleben	Staatsleben	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
unserer	unserer	unsere	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Fem	no	-	-	-	-	-
Zukunft	Zukunft	Zukunft	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
ausmachen	ausmachen	ausmachen	VVINF	VINF.Full.-	no	-	-	-	-	-
wird	wird	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Dazu	Dazu	dazu	PAV	PROADV.Dem	yes	-	-	-	-	-
brauchen	brauchen	brauchen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
scharfe	scharfe	scharf	ADJA	ADJA.Pos.Acc.Pl.Neut	no	-	-	-	-	-
Augen	Augen	Auge	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
welche	welche	welche	PRELS	PRO.Rel.Subst.-.Nom.Pl.Neut	no	-	-	-	-	-
über	über	über	APPR	APPR.über	no	-	-	-	-	-
das	das	d	ART	ART.Def.Acc.Sg.Neut	no	-	-	-	-	-
ganze	ganze	ganz	ADJA	ADJA.Pos.Acc.Sg.Neut	no	-	-	-	-	-
große	große	groß	ADJA	ADJA.Pos.Acc.Sg.Neut	no	-	-	-	-	-
Gebiet	Gebiet	Gebiet	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
schauen	schauen	schauen	VVINF	VINF.Full.-	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
lange	lange	lang	ADJA	ADJA.Pos.Acc.Pl.Masc	no	-	-	-	-	-
Arme	Arme	Arme	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
welche	welche	welche	PRELS	PRO.Rel.Subst.-.Nom.Pl.Masc	no	-	-	-	-	-
überall	überall	überall	ADV	ADV	no	-	-	-	-	-
Lasten	Lasten	Last	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
heben	heben	heben	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Hindernisse	Hindernisse	Hindernis	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
wegräumen	wegräumen	wegräumen	VVINF	VINF.Full.-	no	-	-	-	-	-
können	können	können	VMINF	VINF.Mod.-	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Sie	Sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	yes	-	-	-	-	-
müssen	müssen	müssen	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	-	-	-	-	-
überall	überall	überall	ADV	ADV	no	-	-	-	-	-
stark	stark	stark	ADJD	ADJD.Pos	no	-	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
doch	doch	doch	ADV	ADV	no	-	-	-	-	-
uns	uns	wir	PPER	PRO.Pers.Subst.1.Acc.Pl.*	no	-	-	-	-	-
überall	überall	überall	ADV	ADV	no	-	-	-	-	-
verantwortlich	verantwortlich	verantwortlich	ADJD	ADJD.Pos	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Dagegen	Dagegen	dagegen	PAV	PROADV.Dem	yes	-	frame.3	-	-	-
denke	denke	denken	VVFIN	VFIN.Full.1.Sg.Pres.Ind	no	-	frame.3	-	intexpr.3	-
Du	Du	du	PPER	PRO.Pers.Subst.2.Nom.Sg.*	no	-	frame.3	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
Graf	Graf	Graf	NE	N.Reg.Nom.Sg.Masc	no	-	frame.3	speaker.3	-	-
Stadion	Stadion	Stadion	NN	N.Reg.Nom.Sg.Neut	no	-	frame.3	speaker.3	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
daran	daran	daran	PAV	PROADV.Dem	no	-	frame.3	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.thought.3.nonfact	-	-	-	-
die	die	d	ART	ART.Def.Nom.Sg.Fem	no	indirect.thought.3.nonfact	-	-	-	-
Regierung	Regierung	Regierung	NN	N.Reg.Nom.Sg.Fem	no	indirect.thought.3.nonfact	-	-	-	-
um	um	um	APPR	APPR.Acc	no	indirect.thought.3.nonfact	-	-	-	-
so	so	so	ADV	ADV	no	indirect.thought.3.nonfact	-	-	-	-
stärker	stärker	stark	ADJD	ADJD.Comp	no	indirect.thought.3.nonfact	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	indirect.thought.3.nonfact	-	-	-	-
