tok	normtok	lemma	pos	rfpos	sentstart	fictional	cat
Blamol	Blamol	blamol	XY	N.Name.*.*.*	yes	yes	x
»	&quot;	&quot;	$(	N.Name.*.*.*	yes	yes	x
Wahrhaftiglich	Wahrhaftig	wahrhaftig	ADJD	ADJD.Pos	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
ohne	ohne	ohne	KOUI	APPR.Acc	no	yes	x
Betrug	Betrug	Betrug	NN	N.Reg.Acc.Sg.Masc	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
gewiß	gewiß	gewiß	ADV	ADV	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
ich	ich	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	no	yes	x
sage	sage	sagen	VVFIN	VFIN.Full.1.Sg.Pres.Ind	no	yes	x
dir	dir	du	PPER	PRO.Pers.Subst.2.Dat.Sg.*	no	yes	x
:	:	:	$.	SYM.Pun.Colon	no	yes	x
so	so	so	ADV	ADV	no	yes	x
wie	wie	wie	KOKOM	CONJ.Comp.-	no	yes	x
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	yes	x
unten	unten	unten	ADV	ADV	no	yes	x
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	yes	x
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	yes	x
auch	auch	auch	ADV	ADV	no	yes	x
oben	oben	oben	ADV	ADV	no	yes	x
.	.	.	$.	SYM.Pun.Sent	no	yes	x
«	&quot;	&quot;	$(	ADJA.Pos.Acc.Pl.*	no	yes	x
Tabula	Tabula	tabula	FM.la	FM	yes	yes	x
smaragdina	smaragdina	smaragdina	FM.la	FM	no	yes	x
Der	Der	d	ART	ART.Def.Nom.Sg.Masc	yes	yes	x
alte	alte	alt	ADJA	ADJA.Pos.Nom.Sg.Masc	no	yes	x
Tintenfisch	Tintenfisch	Tintenfisch	NN	N.Reg.Nom.Sg.Masc	no	yes	x
saß	saß	sitzen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	yes	x
auf	auf	auf	APPR	APPR.Auf	no	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Neut	no	yes	x
dicken	dicken	dick	ADJA	ADJA.Pos.Dat.Sg.Neut	no	yes	x
blauen	blauen	blau	ADJA	ADJA.Pos.Dat.Sg.Neut	no	yes	x
Buch	Buch	Buch	NN	N.Reg.Dat.Sg.Neut	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
das	das	die	PRELS	PRO.Rel.Subst.-.Acc.Sg.Neut	no	yes	x
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	yes	x
in	in	in	APPR	APPR.In	no	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Neut	no	yes	x
gescheiterten	gescheiterten	gescheitert	ADJA	ADJA.Pos.Dat.Sg.Neut	no	yes	x
Schiffe	Schiffe	Schiff	NN	N.Reg.Dat.Sg.Neut	no	yes	x
gefunden	gefunden	finden	VVPP	VPP.Full.Psp	no	yes	x
hatte	hatte	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
sog	sog	saugen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	yes	x
langsam	langsam	langsam	ADJD	ADJD.Pos	no	yes	x
die	die	d	ART	ART.Def.Acc.Sg.Fem	no	yes	x
Druckerschwärze	Druckerschwärze	Druckerschwärze	NN	N.Reg.Acc.Sg.Fem	no	yes	x
heraus	heraus	heraus	PTKVZ	PART.Verb	no	yes	x
.	.	.	$.	SYM.Pun.Sent	no	yes	x
Landbewohner	Landbewohner	Landbewohner	NN	N.Reg.Nom.Pl.Masc	yes	yes	x
haben	haben	haben	VAFIN	VFIN.Haben.3.Pl.Pres.Ind	no	yes	x
gar	gar	gar	ADV	ADV	no	yes	x
keinen	keinen	keine	PIAT	PRO.Indef.Attr.-.Acc.Sg.Masc	no	yes	x
Begriff	Begriff	Begriff	NN	N.Reg.Acc.Sg.Masc	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
wie	wie	wie	PWAV	PROADV.Inter	no	yes	x
beschäftigt	beschäftigt	beschäftigen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	yes	x
so	so	so	ADV	ADV	no	yes	x
ein	ein	eine	ART	ART.Indef.Nom.Sg.Masc	no	yes	x
Tintenfisch	Tintenfisch	Tintenfisch	NN	N.Reg.Nom.Sg.Masc	no	yes	x
den	den	d	ART	ART.Def.Acc.Sg.Masc	no	yes	x
ganzen	ganzen	ganz	ADJA	ADJA.Pos.Acc.Sg.Masc	no	yes	x
Tag	Tag	Tag	NN	N.Reg.Acc.Sg.Masc	no	yes	x
über	über	über	APPR	ADV	no	yes	x
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	yes	x
.	.	.	$.	SYM.Pun.Sent	no	yes	x
Dieser	Dieser	diese	PDS	PRO.Dem.Subst.-.Nom.Sg.Masc	yes	yes	x
da	da	da	ADV	ADV	no	yes	x
hatte	hatte	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	yes	x
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	yes	x
auf	auf	auf	APPR	APPR.Auf	no	yes	x
Medizin	Medizin	Medizin	NN	N.Reg.Acc.Sg.Fem	no	yes	x
geworfen	geworfen	werfen	VVPP	VPP.Full.Psp	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
von	von	von	APPR	APPR.Dat	no	yes	x
früh	früh	früh	ADJD	ADJD.Pos	no	yes	x
bis	bis	bis	APPR	APPR.Bis	no	yes	x
Abend	Abend	Abend	NN	N.Reg.Dat.Sg.Masc	no	yes	x
