tok	normtok	lemma	pos	rfpos	sentstart	fictional	cat
Wilhelm	Wilhelm	Wilhelm	NE	N.Name.Nom.Sg.Masc	yes	yes	x
Raabe	Raabe	Raabe	NE	N.Name.Nom.Sg.Masc	no	yes	x
Frau	Frau	Frau	NN	N.Reg.Nom.Sg.Fem	yes	yes	x
Salome	Salome	Salome	NE	N.Name.Nom.Sg.Fem	no	yes	x
Erstes	Erstes	erst	ADJA	ADJA.Pos.Nom.Sg.Neut	yes	yes	x
Kapitel	Kapitel	Kapitel	NN	N.Reg.Nom.Sg.Neut	no	yes	x
Johannes	Johannes	Johannes	NE	N.Name.Nom.Sg.Masc	yes	yes	x
Falk	Falk	Falk	NE	N.Name.Nom.Sg.Masc	no	yes	x
in	in	in	APPR	APPR.In	no	yes	x
seinem	seinem	seine	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Neut	no	yes	x
Buche	Buche	Buche	NN	N.Reg.Dat.Sg.Neut	no	yes	x
über	über	über	APPR	APPR.über	no	yes	x
Goethe	Goethe	Goethe	NE	N.Reg.Dat.Sg.*	no	yes	x
schildert	schildert	schildern	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	yes	x
sehr	sehr	sehr	ADV	ADV	no	yes	x
hübsch	hübsch	hübsch	ADJD	ADJD.Pos	no	yes	x
einen	einen	eine	ART	ART.Indef.Acc.Sg.Masc	no	yes	x
Besuch	Besuch	Besuch	NN	N.Reg.Acc.Sg.Masc	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
den	den	die	PRELS	PRO.Rel.Subst.-.Acc.Sg.Masc	no	yes	x
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	yes	x
an	an	an	APPR	APPR.An	no	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Neut	no	yes	x
Sommernachmittage	Sommernachmittage	Sommernachmittag	NN	N.Reg.Dat.Sg.Neut	no	yes	x
im	im	im	APPRART	APPRART.Dat.Sg.Neut	no	yes	x
Jahre	Jahre	Jahr	NN	N.Reg.Dat.Sg.Neut	no	yes	x
1809	1809	1809	CARD	CARD	no	yes	x
dem	dem	d	ART	ART.Def.Dat.Sg.Masc	no	yes	x
Dichter	Dichter	Dichter	NN	N.Reg.Dat.Sg.Masc	no	yes	x
abstattete	abstattete	abstatten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
Er	Er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	yes	x
fand	fand	finden	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	yes	x
ihn	ihn	er	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	yes	x
bei	bei	bei	APPR	APPR.Dat	no	yes	x
milder	milder	mild	ADJA	ADJA.Pos.Dat.Sg.Fem	no	yes	x
Witterung	Witterung	Witterung	NN	N.Reg.Dat.Sg.Fem	no	yes	x
vor	vor	vor	APPR	APPR.Vor	no	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Masc	no	yes	x
kleinen	kleinen	klein	ADJA	ADJA.Pos.Dat.Sg.Masc	no	yes	x
Tische	Tische	Tisch	NN	N.Reg.Dat.Sg.Masc	no	yes	x
in	in	in	APPR	APPR.In	no	yes	x
seinem	seinem	seine	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Masc	no	yes	x
Garten	Garten	Garten	NN	N.Reg.Dat.Sg.Masc	no	yes	x
sitzend	sitzend	sitzend	ADJD	ADJD.Pos	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
eine	eine	eine	ART	ART.Indef.Acc.Sg.Fem	no	yes	x
kleine	kleine	klein	ADJA	ADJA.Pos.Acc.Sg.Fem	no	yes	x
Schlange	Schlange	Schlange	NN	N.Reg.Acc.Sg.Fem	no	yes	x
in	in	in	APPR	APPR.In	no	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Neut	no	yes	x
langgehalsten	langgehalsten	langgehalst	ADJA	ADJA.Pos.Dat.Sg.Neut	no	yes	x
Zuckerglase	Zuckerglase	Zuckerglas	NN	N.Reg.Dat.Sg.Neut	no	yes	x
mit	mit	mit	APPR	APPR.Dat	no	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Masc	no	yes	x
Federkiele	Federkiele	Federkiel	NN	N.Reg.Dat.Sg.Masc	no	yes	x
fütternd	fütternd	füttern	VVPP	ADJD.Pos	no	yes	x
.	.	.	$.	SYM.Pun.Sent	no	yes	x
»	&quot;	&quot;	$(	N.Reg.Nom.Sg.Fem	yes	yes	x
Die	Die	d	ART	ART.Def.Nom.Pl.Neut	no	yes	x
herrlich	herrlich	herrlich	ADJD	ADJD.Pos	no	yes	x
verständigen	verständigen	verständigen	VVINF	ADJA.Pos.Nom.Pl.Neut	no	yes	x
Augen	Augen	Auge	NN	N.Reg.Nom.Pl.Neut	no	yes	x
!	!	!	$.	SYM.Pun.Sent	no	yes	x
«	&quot;	&quot;	$(	CARD	no	yes	x
sagte	sagte	sagen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	yes	x
