tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Nehmen	-	nehmen	VVFIN	VFIN.Full.1.Pl.Pres.Ind	yes	direct.speech.2	frame.3	-	intexpr.3	-
wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	direct.speech.2	frame.3	speaker.3	-	-
an	-	an	PTKVZ	PART.Verb	no	direct.speech.2	frame.3	-	intexpr.3	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.2	frame.3	-	-	-
das	-	der	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	no	direct.speech.2|indirect.thought.3.nonfact	-	-	-	-
wäre	-	sein	VAFIN	VFIN.Sein.3.Sg.Past.Subj	no	direct.speech.2|indirect.thought.3.nonfact	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.speech.2|indirect.thought.3.nonfact	-	-	-	-
Fall	-	Fall	NN	N.Reg.Nom.Sg.Masc	no	direct.speech.2|indirect.thought.3.nonfact	-	-	-	-
gewesen	-	sein	VAPP	VPP.Sein.Psp	no	direct.speech.2|indirect.thought.3.nonfact	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	direct.speech.2	-	-	-	-
aber	-	aber	KON	CONJ.Coord.Aber	no	direct.speech.2	-	-	-	-
auch	-	auch	ADV	ADV	no	direct.speech.2	-	-	-	-
darum	-	darum	PAV	PROADV.Dem	no	direct.speech.2	-	-	-	-
handelt	-	handeln	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.speech.2	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	direct.speech.2	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	direct.speech.2	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	direct.speech.2	-	-	-	-
!	-	--	$.	SYM.Pun.Sent	no	direct.speech.2	-	-	-	-
Es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	direct.speech.2	frame.12	speaker.12	-	-
fragt	-	fragen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.speech.2	frame.12	-	intexpr.12	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Dat.Sg.*	no	direct.speech.2	frame.12	-	-	-
wo	-	wo	PWAV	PROADV.Inter	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
das	-	der	ART	ART.Def.Nom.Sg.Neut	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
Gesetz	-	Gesetz	NN	N.Reg.Nom.Sg.Neut	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
welches	-	welcher	PRELS	PRO.Rel.Subst.-.Nom.Sg.Neut	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
Bundesregierung	-	Bundesregierung	NN	N.Reg.Dat.Sg.Fem	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
gestattet	-	gestatten	VVPP	VFIN.Full.3.Sg.Pres.Ind	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Masc	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
Fall	-	Fall	NN	N.Reg.Dat.Sg.Masc	no	direct.speech.2|direct.speech thought.12.border=unspec	-	-	-	-
